dataset,num_train,data_augment,augment,seed,test_acc
ag_news,2500,none,none,0,0.8975
ag_news,2500,none,none,2,0.9001
ag_news,2500,none,none,3,0.9001
ag_news,2500,none,adamix,0,0.9025
ag_news,2500,none,adamix,1,0.9020
ag_news,2500,none,adamix,3,0.9029
ag_news,2500,EDA,none,0,0.8949
ag_news,2500,EDA,none,1,0.8966
ag_news,2500,EDA,none,4,0.8925
ag_news,2500,EDA,adamix,1,0.9014
ag_news,2500,EDA,adamix,2,0.8989
ag_news,2500,EDA,adamix,4,0.9032
ag_news,2500,backtranslate,none,2,0.8936
ag_news,2500,backtranslate,none,3,0.8934
ag_news,2500,backtranslate,none,4,0.8942
ag_news,2500,backtranslate,adamix,0,0.8996
ag_news,2500,backtranslate,adamix,3,0.8983
ag_news,2500,backtranslate,adamix,4,0.8974
ag_news,2500,SSMBA,none,0,0.8942
ag_news,2500,SSMBA,none,2,0.8937
ag_news,2500,SSMBA,none,3,0.8936
ag_news,2500,SSMBA,adamix,0,0.8997
ag_news,2500,SSMBA,adamix,1,0.9008
ag_news,2500,SSMBA,adamix,3,0.8971
ag_news,10000,none,none,0,0.9155
ag_news,10000,none,none,2,0.9145
ag_news,10000,none,none,4,0.9150
ag_news,10000,none,adamix,0,0.9174
ag_news,10000,none,adamix,1,0.9184
ag_news,10000,none,adamix,4,0.9192
ag_news,10000,EDA,none,0,0.9150
ag_news,10000,EDA,none,1,0.9166
ag_news,10000,EDA,none,4,0.9128
ag_news,10000,EDA,adamix,2,0.9174
ag_news,10000,EDA,adamix,3,0.9167
ag_news,10000,EDA,adamix,4,0.9155
ag_news,10000,backtranslate,none,1,0.9136
ag_news,10000,backtranslate,none,2,0.9136
ag_news,10000,backtranslate,none,4,0.9134
ag_news,10000,backtranslate,adamix,0,0.9158
ag_news,10000,backtranslate,adamix,1,0.9179
ag_news,10000,backtranslate,adamix,4,0.9175
ag_news,10000,SSMBA,none,0,0.9088
ag_news,10000,SSMBA,none,1,0.9114
ag_news,10000,SSMBA,none,4,0.9057
ag_news,10000,SSMBA,adamix,0,0.9187
ag_news,10000,SSMBA,adamix,2,0.9179
ag_news,10000,SSMBA,adamix,4,0.9172
yahoo_answer,2000,none,none,0,0.7038
yahoo_answer,2000,none,none,2,0.7039
yahoo_answer,2000,none,none,4,0.7046
yahoo_answer,2000,none,adamix,1,0.712
yahoo_answer,2000,none,adamix,2,0.7104
yahoo_answer,2000,none,adamix,3,0.7101
yahoo_answer,2000,EDA,none,0,0.7050
yahoo_answer,2000,EDA,none,2,0.7058
yahoo_answer,2000,EDA,none,3,0.7036
yahoo_answer,2000,EDA,adamix,0,0.7077
yahoo_answer,2000,EDA,adamix,1,0.7080
yahoo_answer,2000,EDA,adamix,3,0.7078
yahoo_answer,2000,backtranslate,none,1,0.6966
yahoo_answer,2000,backtranslate,none,2,0.7021
yahoo_answer,2000,backtranslate,none,3,0.7024
yahoo_answer,2000,backtranslate,adamix,0,0.7109
yahoo_answer,2000,backtranslate,adamix,1,0.7126
yahoo_answer,2000,backtranslate,adamix,4,0.7085
yahoo_answer,2000,SSMBA,none,2,0.7050
yahoo_answer,2000,SSMBA,none,3,0.7028
yahoo_answer,2000,SSMBA,none,4,0.7009
yahoo_answer,2000,SSMBA,adamix,1,0.7106
yahoo_answer,2000,SSMBA,adamix,2,0.7123
yahoo_answer,2000,SSMBA,adamix,3,0.7136
yahoo_answer,25000,none,none,0,0.7365
yahoo_answer,25000,none,none,1,0.7370
yahoo_answer,25000,none,none,3,0.7369
yahoo_answer,25000,none,adamix,1,0.7414
yahoo_answer,25000,none,adamix,3,0.7407
yahoo_answer,25000,none,adamix,4,0.7418
yahoo_answer,25000,EDA,none,1,0.7365
yahoo_answer,25000,EDA,none,2,0.7354
yahoo_answer,25000,EDA,none,3,0.7348
yahoo_answer,25000,EDA,adamix,0,0.7386
yahoo_answer,25000,EDA,adamix,3,0.7379
yahoo_answer,25000,EDA,adamix,4,0.7356
yahoo_answer,25000,backtranslate,none,0,0.7361
yahoo_answer,25000,backtranslate,none,2,0.7361
yahoo_answer,25000,backtranslate,none,3,0.7359
yahoo_answer,25000,backtranslate,adamix,2,0.7374
yahoo_answer,25000,backtranslate,adamix,3,0.7402
yahoo_answer,25000,backtranslate,adamix,4,0.739
yahoo_answer,25000,SSMBA,none,0,0.7316
yahoo_answer,25000,SSMBA,none,1,0.7258
yahoo_answer,25000,SSMBA,none,2,0.7287
yahoo_answer,25000,SSMBA,adamix,1,0.7391
yahoo_answer,25000,SSMBA,adamix,3,0.7364
yahoo_answer,25000,SSMBA,adamix,4,0.7381
amazon_review,2500,none,none,2,0.9102
amazon_review,2500,none,none,3,0.9093
amazon_review,2500,none,none,4,0.9094
amazon_review,2500,none,adamix,1,0.9141
amazon_review,2500,none,adamix,3,0.9119
amazon_review,2500,none,adamix,4,0.9123
amazon_review,2500,EDA,none,0,0.9142
amazon_review,2500,EDA,none,1,0.914
amazon_review,2500,EDA,none,3,0.9138
amazon_review,2500,EDA,adamix,0,0.9173
amazon_review,2500,EDA,adamix,1,0.9153
amazon_review,2500,EDA,adamix,4,0.9175
amazon_review,2500,backtranslate,none,0,0.9152
amazon_review,2500,backtranslate,none,1,0.911
amazon_review,2500,backtranslate,none,3,0.9141
amazon_review,2500,backtranslate,adamix,0,0.9183
amazon_review,2500,backtranslate,adamix,1,0.9177
amazon_review,2500,backtranslate,adamix,4,0.9174
amazon_review,2500,SSMBA,none,1,0.9109
amazon_review,2500,SSMBA,none,2,0.913
amazon_review,2500,SSMBA,none,4,0.9121
amazon_review,2500,SSMBA,adamix,0,0.9142
amazon_review,2500,SSMBA,adamix,2,0.9145
amazon_review,2500,SSMBA,adamix,4,0.9155
amazon_review,10000,none,none,0,0.9282
amazon_review,10000,none,none,1,0.9276
amazon_review,10000,none,none,4,0.9286
amazon_review,10000,none,adamix,0,0.9295
amazon_review,10000,none,adamix,1,0.9287
amazon_review,10000,none,adamix,3,0.9296
amazon_review,10000,EDA,none,1,0.9298
amazon_review,10000,EDA,none,2,0.9287
amazon_review,10000,EDA,none,3,0.9293
amazon_review,10000,EDA,adamix,1,0.9307
amazon_review,10000,EDA,adamix,2,0.9315
amazon_review,10000,EDA,adamix,4,0.9308
amazon_review,10000,backtranslate,none,1,0.9297
amazon_review,10000,backtranslate,none,2,0.9285
amazon_review,10000,backtranslate,none,3,0.9295
amazon_review,10000,backtranslate,adamix,0,0.9315
amazon_review,10000,backtranslate,adamix,3,0.9307
amazon_review,10000,backtranslate,adamix,4,0.9318
amazon_review,10000,SSMBA,none,0,0.9299
amazon_review,10000,SSMBA,none,3,0.927
amazon_review,10000,SSMBA,none,4,0.9271
amazon_review,10000,SSMBA,adamix,0,0.932
amazon_review,10000,SSMBA,adamix,2,0.9308
amazon_review,10000,SSMBA,adamix,3,0.9312
dbpedia,2800,none,none,0,0.9884
dbpedia,2800,none,none,2,0.9886
dbpedia,2800,none,none,4,0.988
dbpedia,2800,none,adamix,0,0.9879
dbpedia,2800,none,adamix,1,0.9888
dbpedia,2800,none,adamix,4,0.9881
dbpedia,2800,EDA,none,0,0.9875
dbpedia,2800,EDA,none,1,0.9868
dbpedia,2800,EDA,none,3,0.9873
dbpedia,2800,EDA,adamix,0,0.9875
dbpedia,2800,EDA,adamix,2,0.9882
dbpedia,2800,EDA,adamix,4,0.9883
dbpedia,2800,backtranslate,none,0,0.9875
dbpedia,2800,backtranslate,none,1,0.9879
dbpedia,2800,backtranslate,none,2,0.9869
dbpedia,2800,backtranslate,adamix,0,0.9872
dbpedia,2800,backtranslate,adamix,1,0.9879
dbpedia,2800,backtranslate,adamix,2,0.9879
dbpedia,2800,SSMBA,none,1,0.9869
dbpedia,2800,SSMBA,none,2,0.9873
dbpedia,2800,SSMBA,none,3,0.9875
dbpedia,2800,SSMBA,adamix,0,0.9884
dbpedia,2800,SSMBA,adamix,2,0.9888
dbpedia,2800,SSMBA,adamix,3,0.9874
dbpedia,35000,none,none,0,0.99
dbpedia,35000,none,none,2,0.99
dbpedia,35000,none,none,4,0.9888
dbpedia,35000,none,adamix,1,0.9905
dbpedia,35000,none,adamix,2,0.9903
dbpedia,35000,none,adamix,3,0.99
dbpedia,35000,EDA,none,0,0.9901
dbpedia,35000,EDA,none,2,0.9898
dbpedia,35000,EDA,none,4,0.9898
dbpedia,35000,EDA,adamix,2,0.99
dbpedia,35000,EDA,adamix,3,0.9898
dbpedia,35000,EDA,adamix,4,0.9904
