uid	iid
0	5
1	10
2	15
3	18
4	23
5	28
6	36
7	40
8	67
9	75
10	81
11	83
12	90
13	102
14	149
15	157
16	193
17	195
18	212
19	216
20	243
21	261
22	268
23	274
24	289
25	299
26	303
27	310
28	356
29	373
30	378
31	395
32	399
33	417
34	420
35	485
36	494
37	500
38	526
39	529
40	538
41	571
42	901
43	906
44	919
45	1039
46	1046
47	1066
48	1073
49	1080
50	1084
51	1089
52	1092
53	1099
54	1112
55	1220
56	1228
57	1239
58	1250
59	1265
60	1269
61	1281
62	1286
63	1291
64	1298
65	1300
66	1310
67	1316
68	1323
69	1326
70	1356
71	1368
72	1380
73	1386
74	1404
75	1411
76	1419
77	1423
78	1457
79	1465
80	1478
81	1487
82	1495
83	1500
84	1542
85	1547
86	1550
87	1553
88	1557
89	1622
90	1686
91	1807
92	1827
93	1849
94	1854
95	1876
96	1883
97	1888
98	1898
99	1905
100	1911
101	1930
102	1942
103	1945
104	3313
105	3314
106	3317
107	3328
108	3330
109	3353
110	3358
111	3359
112	3364
113	3367
114	3376
115	3381
116	3384
117	3417
118	3421
119	3462
120	3466
121	3471
122	3473
123	3480
124	3484
125	3493
126	3497
127	3501
128	3505
129	3508
130	3532
131	3541
132	3545
133	3552
134	3558
135	3559
136	3562
137	3565
138	3571
139	3578
140	3581
141	3586
142	3589
143	3591
144	3599
145	3639
146	3644
147	3819
148	3822
149	3826
150	3845
151	3849
152	3853
153	3862
154	3870
155	3877
156	3880
157	3891
158	3894
159	3898
160	3902
161	3915
162	3930
163	3940
164	4019
165	4025
166	4029
167	4033
168	4040
169	4045
170	4050
171	4097
172	4119
173	4138
174	4147
175	4152
176	4159
177	4173
178	4202
179	4203
180	4207
181	4210
182	4231
183	4234
184	4239
185	4243
186	4247
187	4251
188	4262
189	4316
190	4321
191	4325
192	4339
193	4341
194	4342
195	4372
196	4376
197	4400
198	4405
199	4409
200	4412
201	4414
202	4420
203	4427
204	4450
205	4455
206	4470
207	4472
208	4486
209	4498
210	4501
211	4532
212	4539
213	4541
214	4544
215	4547
216	4550
217	4554
218	4558
219	4560
220	4564
221	4568
222	4627
223	4664
224	4668
225	4671
226	4675
227	4688
228	4693
229	4700
230	4705
231	4710
232	4712
233	4716
234	4746
235	4750
236	4753
237	4761
238	4842
239	4847
240	4850
241	4853
242	4858
243	4867
244	4872
245	4897
246	4951
247	4964
248	4976
249	4985
250	5009
251	5098
252	5104
253	5113
254	5127
255	5129
256	5133
257	5190
258	5241
259	4580
260	5246
261	5250
262	5268
263	5270
264	5273
265	5283
266	5284
267	5448
268	5450
269	5458
270	5472
271	5476
272	5490
273	5501
274	5504
275	5506
276	5509
277	5571
278	5577
279	5580
280	5584
281	5587
282	5590
283	5600
284	5608
285	5630
286	5632
287	5636
288	5638
289	5646
290	5652
291	5654
292	5666
293	5672
294	5677
295	5791
296	5793
297	5803
298	5819
299	5824
300	5826
301	5827
302	5830
303	5900
304	5904
305	5909
306	5984
307	5987
308	5994
309	6001
310	6006
311	6009
312	6013
313	6016
314	6018
315	6020
316	6023
317	6052
318	6057
319	6093
320	6095
321	6099
322	6102
323	6110
324	6124
325	6133
326	6137
327	6146
328	6153
329	6155
330	6186
331	6187
332	6584
333	6587
334	6589
335	6639
336	6668
337	6674
338	6676
339	6681
340	6687
341	6688
342	6691
343	6694
344	6698
345	6705
346	6709
347	6711
348	4763
349	6719
350	6723
351	6745
352	6749
353	6759
354	6765
355	6778
356	6789
357	6791
358	6792
359	6814
360	6825
361	6831
362	6833
363	6837
364	6839
365	6864
366	6869
367	6872
368	6876
369	6879
370	6882
371	6934
372	6960
373	6965
374	6973
375	6981
376	6996
377	7013
378	7018
379	7021
380	7023
381	7118
382	7122
383	7128
384	7157
385	7160
386	7170
387	7192
388	7195
389	7200
390	7205
391	7236
392	7240
393	7243
394	7249
395	7255
396	7265
397	7266
398	7271
399	7273
400	7287
401	7288
402	7290
403	7378
404	7380
405	7382
406	7385
407	7397
408	7404
409	7407
410	7411
411	7413
412	7418
413	7422
414	7425
415	7437
416	7460
417	7462
418	7477
419	7481
420	7486
421	7487
422	7489
423	7492
424	7499
425	6665
