uid	iid
0	4
1	9
2	14
3	17
4	22
5	27
6	35
7	39
8	66
9	74
10	80
11	82
12	89
13	101
14	148
15	156
16	192
17	194
18	211
19	215
20	242
21	260
22	267
23	273
24	288
25	298
26	302
27	309
28	355
29	372
30	377
31	394
32	398
33	416
34	419
35	484
36	493
37	499
38	525
39	528
40	537
41	570
42	900
43	905
44	918
45	1038
46	1045
47	1065
48	1072
49	1079
50	1083
51	1088
52	1091
53	1098
54	1111
55	1219
56	1227
57	1238
58	1249
59	1264
60	1268
61	1280
62	1285
63	1290
64	1297
65	1299
66	1309
67	1315
68	1322
69	1325
70	1355
71	1367
72	1379
73	1385
74	1403
75	1410
76	1418
77	1422
78	1456
79	1464
80	1477
81	1486
82	1494
83	1499
84	1541
85	1546
86	1549
87	1552
88	1556
89	1621
90	1685
91	1806
92	1826
93	1848
94	1853
95	1875
96	1882
97	1887
98	1897
99	1904
100	1910
101	1929
102	1941
103	1944
104	3312
105	905
106	3316
107	3327
108	3329
109	3352
110	3357
111	2799
112	3363
113	3366
114	3375
115	3380
116	3383
117	3416
118	3420
119	3461
120	3465
121	3470
122	3472
123	3479
124	3483
125	3492
126	3496
127	3500
128	3504
129	3507
130	3531
131	3540
132	3544
133	3551
134	3557
135	2552
136	3561
137	3564
138	3570
139	3577
140	3580
141	3585
142	3588
143	3590
144	3598
145	3638
146	3643
147	3818
148	3821
149	3825
150	3844
151	3848
152	3852
153	3861
154	3869
155	3876
156	3879
157	3890
158	3893
159	3897
160	3901
161	3914
162	3929
163	3939
164	4018
165	4024
166	4028
167	4032
168	4039
169	4044
170	4049
171	4096
172	4118
173	4137
174	4146
175	4151
176	4158
177	4172
178	4201
179	2475
180	4206
181	4209
182	4230
183	4233
184	4238
185	4242
186	4246
187	4250
188	4261
189	4315
190	4320
191	4324
192	4338
193	4340
194	3919
195	4371
196	4375
197	4399
198	4404
199	4408
200	4411
201	4413
202	4419
203	4426
204	4449
205	4454
206	4469
207	4471
208	4485
209	4497
210	4500
211	4531
212	4538
213	4540
214	4543
215	4546
216	4549
217	4553
218	4557
219	4559
220	4563
221	4567
222	4626
223	4663
224	4667
225	4670
226	4674
227	4687
228	4692
229	4699
230	4704
231	4709
232	4711
233	4715
234	4745
235	4749
236	4752
237	4760
238	4841
239	4846
240	4849
241	4852
242	4857
243	4866
244	4871
245	4896
246	4950
247	4963
248	4975
249	4984
250	5008
251	5097
252	5103
253	5112
254	5126
255	5128
256	5132
257	5189
258	5240
259	2594
260	5245
261	5249
262	5267
263	5269
264	5272
265	5282
266	1579
267	5447
268	5449
269	5457
270	5471
271	5475
272	5489
273	5500
274	5503
275	5505
276	5508
277	5570
278	5576
279	5579
280	5583
281	5586
282	5589
283	5599
284	5607
285	5629
286	5631
287	5635
288	5637
289	5645
290	5651
291	5653
292	5665
293	5671
294	5676
295	5790
296	5792
297	5802
298	5818
299	5823
300	5825
301	3436
302	5829
303	5899
304	5903
305	5908
306	5983
307	5986
308	5993
309	6000
310	6005
311	6008
312	6012
313	6015
314	6017
315	6019
316	6022
317	6051
318	6056
319	6092
320	6094
321	6098
322	6101
323	6109
324	6123
325	6132
326	6136
327	6145
328	6152
329	6154
330	6185
331	5248
332	6583
333	6586
334	6588
335	6638
336	6667
337	6673
338	6675
339	6680
340	6686
341	6561
342	6690
343	6693
344	6697
345	6704
346	6708
347	6710
348	3611
349	6718
350	6722
351	6744
352	6748
353	6758
354	6764
355	6777
356	6788
357	6790
358	4864
359	6813
360	6824
361	6830
362	6832
363	6836
364	6838
365	6863
366	6868
367	6871
368	6875
369	6878
370	6881
371	6933
372	6959
373	6964
374	6972
375	6980
376	6995
377	7012
378	7017
379	7020
380	7022
381	7117
382	7121
383	7127
384	7156
385	7159
386	7169
387	7191
388	7194
389	7199
390	7204
391	7235
392	7239
393	7242
394	7248
395	7254
396	7264
397	6051
398	7270
399	7272
400	7286
401	5848
402	7289
403	7377
404	7379
405	7381
406	7384
407	7396
408	7403
409	7406
410	7410
411	7412
412	7417
413	7421
414	7424
415	7436
416	7459
417	7461
418	7476
419	7480
420	7485
421	6574
422	7488
423	7491
424	7498
425	6544
426	7501
427	7519
428	7543
429	7552
430	7556
431	7559
432	7571
433	7574
434	7580
435	7583
436	7585
437	7592
438	7596
439	7610
440	7615
441	7620
442	7625
443	6987
444	7631
445	7633
446	7651
447	7654
448	7667
449	7671
450	7678
451	7681
452	7685
453	7691
454	7724
455	7733
456	7739
457	7742
458	7761
459	3634
460	7785
461	5844
462	7807
463	7810
464	7825
465	7843
466	7848
467	7924
468	7926
469	7929
470	7931
471	7971
472	7977
473	7984
474	7987
475	7994
476	8002
477	8007
478	8020
479	1548
480	8028
481	3900
482	8033
483	8035
484	1701
485	8040
486	8043
487	8046
488	8052
489	5450
490	5920
491	8057
492	8067
493	8070
494	8087
495	8142
496	8148
497	8150
498	5275
499	8153
500	8155
501	8162
502	8164
503	8168
504	8172
505	8185
506	8189
507	8194
508	8215
509	8235
510	7508
511	3599
512	8239
513	8248
514	8256
515	8261
516	8266
517	8269
518	8284
519	8365
520	8367
521	8672
522	8675
523	8692
524	8694
525	8697
526	8787
527	8794
528	8812
529	6193
530	8818
531	8824
532	8520
533	8828
534	8835
535	8837
536	8841
537	8845
538	8871
539	8883
540	4549
541	8886
542	8892
543	8895
544	3509
545	8898
546	8902
547	8906
548	8927
549	8931
550	8943
551	9114
552	9191
553	9215
554	9222
555	9515
556	9521
557	9525
558	9528
559	9535
560	9539
561	9088
562	9558
563	9571
564	5907
565	9573
566	9576
567	9583
568	9591
569	9593
570	9596
571	9629
572	9636
573	9649
574	9651
575	9656
576	9681
577	9684
578	6880
579	9688
580	9695
581	9697
582	9702
583	9705
584	9708
585	5839
586	9711
587	9713
588	9717
589	9730
590	9773
591	9776
592	9835
593	9863
594	9877
595	9879
596	10035
597	10038
598	10041
599	10055
600	10068
601	10070
602	10073
603	5511
604	10076
605	10095
606	10132
607	10147
608	10152
609	10156
610	10158
611	9078
612	10165
613	10509
614	10515
615	10521
616	10523
617	10536
618	616
619	10539
620	10545
621	10547
622	10549
623	10552
624	10554
625	10558
626	10560
627	10565
628	10567
629	10572
630	10592
631	10598
632	10601
633	10609
634	10617
635	10620
636	10622
637	10628
638	9157
639	10643
640	10646
641	10673
642	10675
643	10677
644	10679
645	10683
646	10737
647	10739
648	10742
649	10746
650	10749
651	10768
652	10770
653	10774
654	10779
655	8937
656	5034
657	4984
658	10819
659	10821
660	10824
661	10827
662	10829
663	10877
664	10961
665	1163
666	10971
667	10974
668	10977
669	10980
670	7624
671	10996
672	8466
673	9071
674	9937
675	11001
676	11011
677	11064
678	11077
679	11118
680	11124
681	8892
682	11213
683	8951
684	11216
685	11221
686	11231
687	11242
688	11244
689	11281
690	11309
691	11348
692	11361
693	9124
694	11374
695	11377
696	11380
697	11383
698	11385
699	11391
700	11483
701	11488
702	11506
703	11537
704	11544
705	11547
706	11584
707	11588
708	11608
709	11611
710	11614
711	11620
712	11624
713	11629
714	11670
715	8407
716	11454
717	11760
718	11768
719	11772
720	11775
721	10017
722	11794
723	11797
724	11812
725	10030
726	11815
727	11820
728	11823
729	11835
730	11838
731	7890
732	11851
733	11857
734	11860
735	11862
736	11884
737	11896
738	11901
739	11903
740	11917
741	11921
742	8556
743	11931
744	11936
745	9279
746	11958
747	11960
748	11967
749	11972
750	12036
751	12041
752	12045
753	12048
754	12050
755	12053
756	12056
757	12058
758	12061
759	12080
760	12084
761	12111
762	12119
763	12121
764	12124
765	12154
766	11526
767	12157
768	12160
769	12234
770	12238
771	11316
772	12313
773	12315
774	12318
775	12350
776	12353
777	12367
778	12380
779	12386
780	3728
781	4571
782	12399
783	12437
784	12442
785	12447
786	12449
787	12453
788	12475
789	6553
790	12522
791	12527
792	12531
793	12536
794	12540
795	12573
796	12577
797	12582
798	12599
799	12601
800	12606
801	4507
802	12612
803	12616
804	12619
805	12622
806	4279
807	12636
808	12640
809	12642
810	12650
811	12768
812	12770
813	1458
814	12773
815	12775
816	12777
817	12781
818	6837
819	12785
820	12792
821	12797
822	4072
823	11317
824	12806
825	12810
826	5417
827	12814
828	11468
829	12817
830	8278
831	12854
832	12857
833	12860
834	12862
835	12872
836	12876
837	6567
838	12891
839	12894
840	12907
841	12912
842	12915
843	5135
844	9011
845	12918
846	12921
847	12477
848	12941
849	12944
850	12947
851	8154
852	12951
853	12953
854	12955
855	12959
856	12964
857	12970
858	12973
859	13397
860	13402
861	13481
862	13485
863	13488
864	12307
865	13501
866	13504
867	17235
868	17252
869	17260
870	12420
871	17265
872	17271
873	17299
874	4507
875	17304
876	17306
877	17309
878	17311
879	17315
880	17320
881	13758
882	8441
883	13765
884	17326
885	17328
886	838
887	17331
888	17417
889	6834
890	15709
891	2469
892	15607
893	17428
894	6649
895	17432
896	7159
897	12488
898	11008
899	17438
900	17441
901	17443
902	17138
903	17448
904	6547
905	17452
906	17454
907	15849
908	1374
909	17459
910	17461
911	17470
912	17473
913	8300
914	17475
915	17481
916	7657
917	17458
918	17486
919	17490
920	9944
921	4628
922	7026
923	10944
924	10481
925	17495
926	17498
927	17502
928	17517
929	17521
930	17530
931	17865
932	17874
933	11798
934	1325
935	17877
936	3829
937	17879
938	17882
939	17885
940	17887
941	4899
942	3853
943	17890
944	17896
945	17900
946	17904
947	9626
948	17909
949	17914
950	17917
951	17920
952	17923
953	17959
954	11998
955	17976
956	17984
957	17990
958	17997
959	17999
960	18001
961	18063
962	18068
963	18070
964	18074
965	12337
966	11098
967	18079
968	18123
969	18148
970	18151
971	16673
972	18154
973	17878
974	15511
975	13660
976	18159
977	18164
978	18173
979	18175
980	11717
981	15475
982	18270
983	18276
984	18279
985	18282
986	18290
987	7751
988	1449
989	18293
990	17538
991	5143
992	16320
993	18299
994	18301
995	18336
996	18344
997	18462
998	18494
999	18505
1000	18507
1001	18520
1002	4995
1003	18525
1004	18534
1005	5360
1006	18540
1007	12038
1008	11406
1009	6741
1010	4635
1011	12969
1012	18545
1013	13490
1014	13192
1015	18576
1016	1437
1017	172
1018	6799
1019	18579
1020	18582
1021	18584
1022	18608
1023	13135
1024	18611
1025	9188
1026	18614
1027	18628
1028	18631
1029	18635
1030	18190
1031	18662
1032	3739
1033	13677
1034	18667
1035	18676
1036	18680
1037	6278
1038	5909
1039	18684
1040	18695
1041	18719
1042	14966
1043	18723
1044	18725
1045	18727
1046	18729
1047	1318
1048	18731
1049	18742
1050	18744
1051	18746
1052	7784
1053	18753
1054	18775
1055	12844
1056	18595
1057	18779
1058	18882
1059	18884
1060	18887
1061	18898
1062	18914
1063	18936
1064	18942
1065	18944
1066	19035
1067	19038
1068	10108
1069	11933
1070	19045
1071	19047
1072	19075
1073	19078
1074	19084
1075	9520
1076	19087
1077	11058
1078	19102
1079	19105
1080	17588
1081	15403
1082	19109
1083	19111
1084	19130
1085	13744
1086	17199
1087	15362
1088	19135
1089	19137
1090	19142
1091	19144
1092	19159
1093	19162
1094	6768
1095	9776
1096	19178
1097	13298
1098	19185
1099	19188
1100	19190
1101	19193
1102	19196
1103	17169
1104	11410
1105	19199
1106	19207
1107	19209
1108	19211
1109	19215
1110	16626
1111	3511
1112	19221
1113	13660
1114	19223
1115	19225
1116	19227
1117	1264
1118	8594
1119	19230
1120	19364
1121	19414
1122	19416
1123	19420
1124	8848
1125	19422
1126	17329
1127	19435
1128	19438
1129	19440
1130	19442
1131	19446
1132	19451
1133	19471
1134	17232
1135	8507
1136	6544
1137	7206
1138	7549
1139	19493
1140	10801
1141	3319
1142	19261
1143	18278
1144	14279
1145	19513
1146	19516
1147	19518
1148	19526
1149	19553
1150	19557
1151	14911
1152	18068
1153	19567
1154	3909
1155	19569
1156	19572
1157	19576
1158	15076
1159	10996
1160	19579
1161	12900
1162	19583
1163	19631
1164	19641
1165	19643
1166	6014
1167	13222
1168	13222
1169	15462
1170	19667
1171	19674
1172	19682
1173	7995
1174	19686
1175	19689
1176	19695
1177	19703
1178	19705
1179	19707
1180	18862
1181	12757
1182	10957
1183	19737
1184	19740
1185	15619
1186	13122
1187	19763
1188	4585
1189	19775
1190	19778
1191	3581
1192	19781
1193	11042
1194	19789
1195	7197
1196	19792
1197	19802
1198	19818
1199	20020
1200	5716
1201	5716
1202	20023
1203	20026
1204	20029
1205	20031
1206	15059
1207	20034
1208	20055
1209	20080
1210	18895
1211	16090
1212	19790
1213	20090
1214	6724
1215	20095
1216	20098
1217	20101
1218	20664
1219	5847
1220	20667
1221	5520
1222	15306
1223	17430
1224	20673
1225	12792
1226	20677
1227	20681
1228	20684
1229	20689
1230	20697
1231	20800
1232	5849
1233	20803
1234	20831
1235	20835
1236	20941
1237	12187
1238	20947
1239	7483
1240	20954
1241	20957
1242	20972
1243	20975
1244	14749
1245	20978
1246	20980
1247	20821
1248	3600
1249	20984
1250	5275
1251	20986
1252	20988
1253	20991
1254	20996
1255	21017
1256	10426
1257	21024
1258	12932
1259	21028
1260	12263
1261	21031
1262	21069
1263	21071
1264	13676
1265	11675
1266	21079
1267	21083
1268	21085
1269	11718
1270	21088
1271	21092
1272	21106
1273	3930
1274	21109
1275	8596
1276	21112
1277	9923
1278	21115
1279	8781
1280	12315
1281	21119
1282	12005
1283	21138
1284	21141
1285	9361
1286	21144
1287	21146
1288	21150
1289	21152
1290	21157
1291	21159
1292	21174
1293	21179
1294	7479
1295	8544
1296	21186
1297	21228
1298	7992
1299	21232
1300	15754
1301	13342
1302	21237
1303	10426
1304	21239
1305	21241
1306	7834
1307	21276
1308	21301
1309	21305
1310	21310
1311	17034
1312	21314
1313	21321
1314	21329
1315	19370
1316	21332
1317	1467
1318	21356
1319	21358
1320	1045
1321	5028
1322	21360
1323	17788
1324	21366
1325	11078
1326	21371
1327	21374
1328	21380
1329	21383
1330	21389
1331	21395
1332	9370
1333	21397
1334	21401
1335	21407
1336	21410
1337	21412
1338	21415
1339	21475
1340	21477
1341	17005
1342	21480
1343	18601
1344	21485
1345	21490
1346	8590
1347	21499
1348	3855
1349	21501
1350	8270
1351	21505
1352	13296
1353	6618
1354	15121
1355	19777
1356	21508
1357	21512
1358	13062
1359	6093
1360	16581
1361	21532
1362	21538
1363	21540
1364	16970
1365	9927
1366	21544
1367	21547
1368	18894
1369	18437
1370	21551
1371	21564
1372	21568
1373	20326
1374	21573
1375	21580
1376	5921
1377	8315
1378	21622
1379	1676
1380	21624
1381	21635
1382	21637
1383	8068
1384	21644
1385	21649
1386	21651
1387	21653
1388	14723
1389	21655
1390	10299
1391	14719
1392	21665
1393	15878
1394	8998
1395	21671
1396	4062
1397	14503
1398	7392
1399	16358
1400	21686
1401	21689
1402	5250
1403	21691
1404	21700
1405	12998
1406	21709
1407	21711
1408	9422
1409	21716
1410	9521
1411	9380
1412	21718
1413	17053
1414	21721
1415	8173
1416	21765
1417	21787
1418	21794
1419	21823
1420	21826
1421	21829
1422	21832
1423	21834
1424	19020
1425	21851
1426	6665
1427	16582
1428	12829
1429	21855
1430	21860
1431	20013
1432	21864
1433	21866
1434	21868
1435	21648
1436	21872
1437	21874
1438	21876
1439	16539
1440	21897
1441	21902
1442	8193
1443	21953
1444	21958
1445	6630
1446	9669
1447	20448
1448	21965
1449	12119
1450	21967
1451	21969
1452	21984
1453	21986
1454	21989
1455	22045
1456	18256
1457	22047
1458	22050
1459	17832
1460	22053
1461	13555
1462	22055
1463	13409
1464	22057
1465	22059
1466	4308
1467	22061
1468	22074
1469	22079
1470	22082
1471	22085
1472	8943
1473	18006
1474	22089
1475	22091
1476	22102
1477	20482
1478	22107
1479	10938
1480	22110
1481	8399
1482	22114
1483	22117
1484	22120
1485	16141
1486	22132
1487	10169
1488	11339
1489	22135
1490	22143
1491	17643
1492	6988
1493	22146
1494	22154
1495	19952
1496	22157
1497	22161
1498	21389
1499	22164
1500	22166
1501	12797
1502	20760
1503	22170
1504	3345
1505	22173
1506	22176
1507	22179
1508	7721
1509	9231
1510	22183
1511	22186
1512	22189
1513	22192
1514	22195
1515	22197
1516	22202
1517	22205
1518	22214
1519	9995
1520	22219
1521	1626
1522	22221
1523	22227
1524	4071
1525	22229
1526	22233
1527	22252
1528	18239
1529	14832
1530	22267
1531	22379
1532	22381
1533	22392
1534	22395
1535	22399
1536	22403
1537	19274
1538	9366
1539	22407
1540	22416
1541	22421
1542	22424
1543	22428
1544	15078
1545	7066
1546	22439
1547	22442
1548	22486
1549	7942
1550	22489
1551	17432
1552	9825
1553	15963
1554	22502
1555	22509
1556	22512
1557	22543
1558	22547
1559	15910
1560	22562
1561	8043
1562	13633
1563	13515
1564	22573
1565	8941
1566	18251
1567	18232
1568	22580
1569	6381
1570	11490
1571	22584
1572	22610
1573	21225
1574	22615
1575	22617
1576	22645
1577	14492
1578	22664
1579	22670
1580	22675
1581	3619
1582	22682
1583	12386
1584	22684
1585	18213
1586	22686
1587	21742
1588	8801
1589	13219
1590	9824
1591	22690
1592	20886
1593	9394
1594	22696
1595	3912
1596	615
1597	22699
1598	22233
1599	22704
1600	7952
1601	21374
1602	22707
1603	22710
1604	22713
1605	9087
1606	18876
1607	22720
1608	22722
1609	3366
1610	22724
1611	22726
1612	22730
1613	22733
1614	22736
1615	21270
1616	22739
1617	22741
1618	22743
1619	9467
1620	16900
1621	19486
1622	22747
1623	18866
1624	18920
1625	14943
1626	22753
1627	7526
1628	22763
1629	22765
1630	21208
1631	22774
1632	9401
1633	10030
1634	22789
1635	22791
1636	22796
1637	10781
1638	22800
1639	22822
1640	22824
1641	22827
1642	22829
1643	3424
1644	18917
1645	16947
1646	22836
1647	9721
1648	22839
1649	22841
1650	22843
1651	22850
1652	22854
1653	3585
1654	17659
1655	14974
1656	22861
1657	22865
1658	22871
1659	22873
1660	22881
1661	4144
1662	22884
1663	22886
1664	18710
1665	22889
1666	16277
1667	10757
1668	22899
1669	22907
1670	20824
1671	22912
1672	18287
1673	21981
1674	18100
1675	16117
1676	5453
1677	7504
1678	22196
1679	22919
1680	8197
1681	22922
1682	22959
1683	15081
1684	1163
1685	17189
1686	3425
1687	14835
1688	22962
1689	22964
1690	22968
1691	22973
1692	19247
1693	22977
1694	22980
1695	22983
1696	22990
1697	22995
1698	23015
1699	23017
1700	23023
1701	17733
1702	15423
1703	18215
1704	13149
1705	23027
1706	23029
1707	14443
1708	23035
1709	23037
1710	23046
1711	5693
1712	17433
1713	23062
1714	23064
1715	14999
1716	13635
1717	6553
1718	23268
1719	23270
1720	17372
1721	8152
1722	22684
1723	23274
1724	23276
1725	23280
1726	6008
1727	23287
1728	23323
1729	15176
1730	9626
1731	23439
1732	5859
1733	23441
1734	7389
1735	23450
1736	23456
1737	21631
1738	7454
1739	7751
1740	7267
1741	23304
1742	23464
1743	15278
1744	12629
1745	4820
1746	20485
1747	23469
1748	14971
1749	23480
1750	23484
1751	21281
