uid	iid
0	0
0	1
0	2
0	3
1	6
1	7
2	10
2	11
2	12
3	15
3	16
4	19
5	22
6	25
6	26
7	29
8	32
9	21
9	35
9	36
9	37
9	38
9	39
10	42
10	43
10	44
11	47
11	48
11	49
12	52
12	53
12	54
12	55
12	56
13	59
13	60
13	61
14	64
14	65
14	66
15	48
15	69
15	70
16	60
16	73
17	76
18	79
18	80
18	81
19	84
19	85
20	88
20	89
20	90
20	91
20	92
21	95
22	61
22	98
22	99
22	100
23	103
23	104
24	107
24	108
25	111
25	112
26	115
26	116
26	117
26	118
27	121
27	122
28	125
29	128
30	59
30	131
30	132
31	89
31	135
31	136
32	61
32	125
32	139
32	140
32	141
32	142
33	106
33	145
33	146
34	61
34	149
34	150
34	151
35	154
35	155
36	158
36	159
36	160
37	163
37	164
38	167
38	168
38	169
39	172
39	173
40	176
40	177
40	178
40	179
41	182
42	185
43	188
43	189
43	190
44	193
44	194
45	197
45	198
46	201
46	202
46	203
47	206
48	209
49	212
49	213
50	216
50	217
51	220
51	221
51	222
51	223
51	224
51	225
51	226
51	227
52	230
52	231
52	232
53	235
53	236
53	237
54	81
54	240
54	241
54	242
54	243
55	6
55	246
55	247
55	248
55	249
56	140
56	149
56	153
56	180
56	252
56	253
56	254
57	257
57	258
57	259
58	262
59	265
59	266
59	267
59	268
59	269
60	26
60	70
60	272
60	273
60	274
60	275
60	276
60	277
60	278
61	281
61	282
62	285
63	7
63	9
63	288
63	289
64	292
64	293
64	294
64	295
65	27
65	48
65	298
65	299
65	300
65	301
65	302
66	305
67	308
68	156
68	311
69	314
69	315
70	318
70	319
70	320
71	323
71	324
71	325
71	326
72	329
72	330
72	331
72	332
73	335
74	338
74	339
74	340
75	343
75	344
75	345
75	346
75	347
75	348
75	349
76	272
76	352
76	353
76	354
77	357
78	26
78	360
79	139
79	363
80	366
80	367
81	370
81	371
81	372
81	373
82	22
82	184
82	376
83	379
83	380
83	381
83	382
83	383
83	384
83	385
83	386
83	387
83	388
83	389
83	390
83	391
84	55
84	394
85	397
85	398
85	399
86	48
86	221
86	402
87	223
87	405
87	406
88	409
89	218
89	412
89	413
90	416
90	417
91	259
91	420
91	421
92	424
92	425
92	426
92	427
93	430
93	431
94	43
94	434
94	435
94	436
94	437
94	438
95	441
95	442
95	443
95	444
96	447
96	448
97	451
97	452
97	453
98	456
98	457
98	458
98	459
98	460
99	157
100	334
100	464
100	465
100	466
100	467
100	468
101	190
101	471
102	286
102	474
102	475
102	476
103	479
103	480
103	481
103	482
103	483
103	484
103	485
103	486
103	487
103	488
103	489
103	490
103	491
104	5
104	182
104	494
105	497
105	498
105	499
106	502
106	503
106	504
107	507
107	508
107	509
108	512
108	513
108	514
109	157
109	517
109	518
110	48
111	522
111	523
111	524
112	469
112	527
112	528
113	531
114	89
114	534
114	535
115	273
115	283
115	538
115	539
116	542
116	543
116	544
117	530
117	547
117	548
117	549
117	550
117	551
118	60
118	250
118	554
119	557
119	558
119	559
120	562
120	563
121	566
121	567
121	568
122	358
122	571
123	574
123	575
124	578
124	579
124	580
125	583
125	584
125	585
126	70
126	588
126	589
127	98
127	592
127	593
127	594
128	505
128	597
128	598
128	599
129	602
129	603
130	606
130	607
130	608
131	611
131	612
132	444
132	615
132	616
132	617
133	620
134	60
134	470
134	623
134	624
134	625
134	626
134	627
135	465
135	468
135	630
136	633
136	634
136	635
136	636
137	26
137	181
137	639
137	640
137	641
137	642
138	185
138	645
138	646
139	649
139	650
140	21
140	495
140	653
140	654
140	655
141	70
142	302
142	609
143	26
143	48
144	662
144	663
144	664
145	89
145	667
145	668
145	669
146	297
146	672
146	673
146	674
147	358
147	416
147	677
147	678
148	681
148	682
148	683
148	684
148	685
149	680
149	688
149	689
150	375
151	140
151	371
151	694
152	239
152	566
152	697
152	698
152	699
152	700
152	701
152	702
152	703
152	704
152	705
152	706
153	692
153	709
153	710
153	711
153	712
153	713
154	77
154	716
155	59
155	60
155	719
155	720
156	659
156	723
156	724
156	725
157	272
157	728
157	729
157	730
158	89
158	733
158	734
158	735
159	137
159	738
159	739
159	740
160	107
160	237
160	634
160	743
160	744
160	745
160	746
160	747
160	748
160	749
160	750
161	753
161	754
161	755
161	756
161	757
161	758
161	759
161	760
162	135
162	763
162	764
163	279
163	516
163	734
163	767
164	157
165	55
165	114
165	255
165	649
166	60
166	615
166	770
