uid	iid
0	4
1	8
2	13
3	17
4	20
5	23
6	27
7	30
8	33
9	40
10	45
11	50
12	57
13	62
14	67
15	71
16	74
17	77
18	82
19	86
20	93
21	96
22	101
23	105
24	109
25	113
26	119
27	123
28	126
29	129
30	133
31	137
32	143
33	147
34	152
35	156
36	161
37	165
38	170
39	174
40	180
41	183
42	186
43	191
44	195
45	199
46	204
47	207
48	210
49	214
50	218
51	228
52	233
53	238
54	244
55	250
56	255
57	260
58	263
59	270
60	279
61	283
62	286
63	290
64	296
65	303
66	306
67	309
68	312
69	316
70	321
71	327
72	333
73	336
74	341
75	350
76	355
77	358
78	361
79	364
80	368
81	374
82	377
83	392
84	395
85	400
86	403
87	407
88	410
89	414
90	418
91	422
92	428
93	432
94	439
95	445
96	449
97	454
98	461
99	240
100	469
101	472
102	477
103	492
104	495
105	500
106	505
107	510
108	515
109	519
110	64
111	525
112	529
113	532
114	536
115	540
116	545
117	552
118	555
119	560
120	564
121	569
122	572
123	576
124	581
125	586
126	590
127	595
128	600
129	604
130	609
131	613
132	618
133	621
134	628
135	631
136	637
137	643
138	647
139	651
140	656
141	658
142	660
143	71
144	665
145	670
146	675
147	679
148	686
149	690
150	692
151	695
152	707
153	714
154	717
155	721
156	726
157	731
158	736
159	741
160	751
161	761
162	765
163	768
164	722
165	771
166	773
167	776
168	781
169	784
170	787
171	790
172	801
173	805
174	810
175	812
176	816
177	819
178	822
179	824
180	829
181	832
182	836
183	838
184	841
185	846
186	849
187	858
188	864
189	872
190	878
191	886
192	888
193	891
194	896
195	898
196	901
197	906
198	908
199	912
200	916
201	929
202	448
203	948
204	952
205	955
206	958
207	961
208	963
209	967
210	971
211	974
212	979
213	983
214	989
215	996
216	1001
217	1007
218	1010
219	1014
220	1016
221	1020
222	1022
223	1027
224	1036
225	1047
226	1049
227	1056
228	1065
229	1067
230	1071
231	1077
232	1081
233	1085
234	1088
235	1092
236	1095
237	1100
238	1049
239	1106
240	1111
241	1115
242	1118
243	773
244	1122
245	1125
246	1128
247	1134
248	1140
249	1144
250	1150
251	1156
252	1158
253	1161
254	926
255	1169
256	1172
257	1177
258	1179
259	1183
260	1186
261	1189
262	1193
263	1197
264	417
265	1200
266	1203
267	1208
268	1211
269	1214
270	1217
271	1221
272	1223
273	953
274	1227
275	1231
276	1236
277	1240
278	1242
279	1245
280	1249
281	1254
282	1258
283	1261
284	1271
285	1274
286	1277
287	1287
288	1290
289	1294
290	1298
291	1303
292	1308
293	1312
294	1317
295	1321
296	1324
297	1327
298	1332
299	804
300	1337
301	1342
302	1344
303	1347
304	1349
305	1352
306	1355
307	1358
308	1360
309	1364
310	1368
311	1378
312	1382
313	1384
314	1386
315	1389
316	1393
317	1400
318	1403
319	1406
320	1369
321	1411
322	1415
323	1421
324	1424
325	1426
326	1431
327	1170
328	1121
329	1437
330	1439
331	1441
332	1447
333	1450
334	1456
335	1198
336	1460
337	1465
338	1473
339	1477
340	1481
341	1485
342	1493
343	1496
344	1500
345	1512
346	1516
347	1519
348	1523
349	1527
350	1532
351	1537
352	1541
353	1544
354	1548
355	1550
356	1554
357	1557
358	1561
359	1574
360	1576
361	1585
362	1591
363	124
364	1595
365	1599
366	1602
367	1605
368	1608
369	1613
370	1621
371	1625
372	1628
373	1440
374	600
375	1631
376	1633
377	1637
378	1641
379	1644
380	1650
381	1653
382	1655
383	1665
384	1668
385	1672
386	1677
387	1364
388	1681
389	1683
390	1685
391	1688
392	1692
393	1694
394	1696
395	1701
396	1707
397	1710
398	1713
399	1721
400	504
401	1723
402	1731
403	1734
404	1737
405	1740
406	1743
407	1747
408	1750
409	1754
410	1582
411	1759
412	1187
413	1765
414	1770
415	1772
416	1775
417	1779
418	1782
419	1786
420	1790
421	1794
422	1798
423	1801
424	1804
425	1806
426	1811
427	1813
428	1816
429	1823
430	1827
431	1830
432	1833
433	1836
434	1845
435	1860
436	1888
437	1895
438	1898
439	1900
440	1902
441	1904
442	1907
443	1911
444	1913
445	81
446	1916
447	1921
448	1924
449	1926
450	1929
451	1931
452	1933
453	1337
454	1939
455	1941
456	1950
457	1955
458	1960
459	1963
460	1965
461	1968
462	1972
463	1975
464	1979
465	1983
466	1988
467	1991
468	1993
469	1997
470	2002
471	1471
472	2008
473	2012
474	2015
475	2019
476	2022
477	2027
478	2032
479	2036
480	2040
481	2045
482	1922
483	2049
484	2053
485	2057
486	2060
487	2062
488	2065
489	2068
490	2072
491	2075
492	2080
493	2084
494	2047
495	2088
496	2099
497	2139
498	2141
499	2143
500	1197
501	2149
502	2152
503	2156
504	2158
505	1309
506	2161
507	2166
508	2168
509	2172
510	2176
511	2178
512	2181
513	2184
514	2190
515	2193
516	2202
517	2205
518	2209
519	415
520	2215
521	2219
522	1556
523	692
524	2227
525	2229
526	2109
527	2231
528	2238
529	2243
530	2247
531	2249
532	2252
533	2254
534	2258
535	2261
536	2264
537	2269
538	2272
539	1175
540	2277
541	2280
542	2283
543	2287
544	1719
545	2292
546	2295
547	2301
548	2305
549	2310
550	2315
551	2318
552	2321
553	2323
554	2326
555	2328
556	566
557	2335
558	2340
559	2343
560	2347
561	2351
562	2353
563	2356
564	2358
565	2360
566	2365
567	1016
568	2373
569	2377
570	2381
571	2384
572	2386
573	2390
574	632
575	2393
576	2398
577	2402
578	1595
579	2406
580	2408
581	2410
582	2413
583	2416
584	2423
585	2428
586	2430
587	2433
588	2436
589	2440
590	2446
591	2448
592	465
593	2451
594	2454
595	2458
596	2056
597	2463
598	2466
599	2470
600	2474
601	2476
602	2479
603	2481
604	2483
605	2490
606	2493
607	2497
608	2499
609	2501
610	788
611	2505
612	2508
613	2516
614	2519
615	2522
616	2524
617	2526
618	2529
619	2531
620	2533
621	2535
622	2543
623	1932
624	2555
625	2560
626	2563
627	1486
628	2569
629	2572
630	1904
631	2576
632	2580
633	2585
634	2591
635	2593
636	2470
637	2598
638	2486
639	788
640	2605
641	2609
642	2612
643	2614
644	2618
645	2620
646	2622
647	2624
648	2629
649	2632
650	1052
651	2635
652	2639
653	2642
654	2647
655	2649
656	2653
657	2657
658	692
659	2662
660	2664
661	2667
662	2673
663	2675
664	2678
665	2680
666	2682
667	2684
668	2686
669	2689
670	2529
671	2696
672	2700
673	2703
674	2706
675	2708
676	2711
677	2714
678	2718
679	2723
680	2725
681	2735
682	2739
683	2741
684	2743
685	2746
686	2749
687	2751
688	2754
689	2761
690	2763
691	2766
692	2770
693	2775
694	2057
695	2780
696	2783
697	2786
698	2789
699	2792
700	2796
701	2800
702	2804
703	2806
704	2811
705	1571
706	2817
707	2821
708	2826
709	2830
710	2835
711	2837
712	2842
713	2846
714	2854
715	2856
716	2858
717	2860
718	2863
719	2869
720	2871
721	126
722	2581
723	1792
724	2877
725	2879
726	2531
727	2883
728	2886
729	2580
730	2894
731	2633
732	2898
733	2901
734	2903
735	2905
736	2936
737	2938
738	2940
739	2943
740	1713
741	2946
742	2950
743	2953
744	2955
745	2958
746	2961
747	2964
748	2970
749	2976
750	2978
751	2981
752	2996
753	1345
754	2999
755	3004
756	3007
757	1939
758	3012
759	3014
760	1509
761	3017
762	3020
763	3022
764	1857
765	1055
766	3026
767	3030
768	3036
769	2018
770	3039
771	3042
772	1714
773	2408
774	3047
775	3051
776	3053
777	3055
778	3057
779	3060
780	3062
781	3064
782	3089
783	3098
784	3102
785	3104
786	3111
787	3116
788	3118
789	1024
790	3124
791	1219
792	788
793	3127
794	3132
795	3134
796	1824
797	3138
798	3142
799	3148
800	2105
801	3153
802	3159
803	3162
804	3164
805	1889
806	3170
807	3175
808	3178
809	3181
810	3183
811	3188
812	3190
813	3192
814	3196
815	3198
816	1156
817	3202
818	3205
819	3209
820	2758
821	3214
822	1632
823	3220
824	3238
825	3241
826	3244
827	2695
828	3250
829	504
830	3252
831	3254
832	3258
833	460
834	3261
835	3264
836	3266
837	3273
838	3275
839	2265
840	1790
841	3280
842	3283
843	3285
844	3291
845	1052
846	3296
847	1458
848	3300
849	1562
850	3304
851	1835
852	3141
853	3311
854	3313
855	3317
856	3320
857	3323
858	3327
859	3329
860	3334
861	2842
862	3337
863	3339
864	3342
865	3344
866	3346
867	2116
868	3349
869	3354
870	3358
871	3363
872	2141
873	3366
874	1924
875	3369
876	3372
877	3375
878	3379
879	3383
880	3386
881	3388
882	3392
883	2791
884	3397
885	3401
886	3405
887	3407
888	3417
889	3419
890	3421
891	3423
892	3428
893	2373
894	3430
895	3435
896	3438
897	3443
898	3445
899	1680
900	2758
901	2434
902	3450
903	3452
904	3456
905	3459
906	3042
907	3463
908	3466
909	3470
910	3472
911	3477
912	3479
913	3482
914	3488
915	3191
916	1676
917	3492
918	3494
919	3497
920	3500
921	3503
922	1177
923	3506
924	1943
925	3510
926	2152
927	3514
928	3519
929	3521
930	3523
931	3527
932	3529
933	3532
934	3535
935	2147
936	3271
937	3540
938	3546
939	3548
940	3552
941	3554
942	3558
943	1241
944	3562
945	3565
946	3567
947	3570
948	2420
949	3575
950	3579
951	3581
952	1939
953	3589
954	3594
955	2388
956	3596
957	3598
958	3600
959	3602
960	3606
961	3609
962	3613
963	2970
964	3618
965	3620
966	3622
967	70
968	3626
969	3629
970	3631
971	3634
972	3636
973	3639
974	1534
975	3645
976	3647
977	1900
978	3650
979	3653
980	3096
981	3658
982	3661
983	3664
984	3667
985	3669
986	3671
987	3673
988	3676
989	3684
990	3690
991	3693
992	1884
993	3262
994	3698
995	3700
996	1222
997	3704
998	3707
999	3709
1000	3713
1001	3717
1002	2978
1003	3727
1004	3732
1005	3735
1006	3737
1007	3742
1008	3744
1009	3746
1010	3749
1011	3754
1012	1513
1013	3757
1014	3029
1015	3761
1016	3766
1017	3768
1018	3778
1019	1927
1020	3781
1021	984
1022	1153
1023	3785
1024	3564
1025	3779
1026	3790
1027	3792
1028	3795
1029	1928
1030	3799
1031	299
1032	2745
1033	3802
1034	3805
1035	3807
1036	3811
1037	3819
1038	3821
1039	1440
1040	1766
1041	3824
1042	3830
1043	1597
1044	3832
1045	3835
1046	3837
1047	3842
1048	3849
1049	3851
1050	3854
1051	3856
1052	3858
1053	2120
1054	3862
1055	2471
1056	3864
1057	3867
1058	3869
1059	2854
1060	3872
1061	3874
1062	3589
1063	3878
1064	3881
1065	3884
1066	3886
1067	3888
1068	3892
1069	3895
1070	3900
1071	3902
1072	3904
1073	1571
1074	2844
1075	3908
1076	3913
1077	3917
1078	3921
1079	3925
1080	3929
1081	3933
1082	3936
1083	3940
1084	3945
1085	3947
1086	3739
1087	3952
1088	954
1089	2975
1090	3957
1091	3960
1092	3964
1093	3967
1094	3970
1095	3973
1096	1369
1097	3823
1098	3978
1099	3982
1100	3985
1101	3261
1102	3993
1103	3096
1104	3997
1105	4000
1106	2018
1107	2496
1108	4005
1109	4008
1110	4011
1111	4013
1112	4015
1113	4018
1114	1447
1115	4020
1116	4024
1117	1097
1118	3260
1119	4030
1120	4034
1121	4036
1122	4039
1123	4041
1124	4044
1125	4048
1126	2018
1127	4052
1128	4056
1129	4058
1130	4061
1131	4064
1132	3938
1133	4067
1134	4071
1135	4073
1136	4075
1137	4079
1138	1336
1139	4082
1140	460
1141	4104
1142	4106
1143	1753
1144	4109
1145	3520
1146	4115
1147	4118
1148	1807
1149	3669
1150	2946
1151	2925
1152	4124
1153	4132
1154	4134
1155	4140
1156	4148
1157	4150
1158	4152
1159	4156
1160	1052
1161	4160
1162	2387
1163	4164
1164	2770
1165	1760
1166	4171
1167	4173
1168	4176
1169	4178
1170	4180
1171	4182
1172	4184
1173	4187
1174	4190
1175	4192
1176	4200
1177	4202
1178	1846
1179	4205
1180	4207
1181	4216
1182	4219
1183	4222
1184	2695
1185	4225
1186	4230
1187	4235
1188	4242
1189	4244
1190	4246
1191	4023
1192	3947
1193	4090
1194	70
1195	4253
1196	4257
1197	4259
1198	4261
1199	4263
1200	4265
1201	2450
1202	4269
1203	4271
1204	4274
1205	4278
1206	4281
1207	1858
1208	4285
1209	4288
1210	4290
1211	4292
1212	4297
1213	2980
1214	4037
1215	1184
1216	3259
1217	3472
1218	1527
1219	1458
1220	4304
1221	4310
1222	4318
1223	4322
1224	4325
1225	4327
1226	1609
1227	1440
1228	4331
1229	4335
1230	1734
1231	2713
1232	2103
1233	4340
1234	4350
1235	4352
1236	3245
1237	4356
1238	4359
1239	4361
1240	4364
1241	2982
1242	2732
1243	4368
1244	3148
1245	4375
1246	4377
