uid	iid
0	0
0	1
0	2
0	3
0	4
0	5
1	6
1	7
1	8
1	9
2	10
2	11
2	12
2	13
2	14
3	15
3	16
3	17
3	18
4	19
4	20
4	21
5	22
5	23
5	24
6	25
6	26
6	27
6	28
7	29
7	30
7	31
8	32
8	33
8	34
9	21
9	35
9	36
9	37
9	38
9	39
9	40
9	41
10	42
10	43
10	44
10	45
10	46
11	47
11	48
11	49
11	50
11	51
12	52
12	53
12	54
12	55
12	56
12	57
12	58
13	59
13	60
13	61
13	62
13	63
14	64
14	65
14	66
14	67
14	68
15	48
15	69
15	70
15	71
15	72
16	60
16	73
16	74
16	75
17	76
17	77
17	78
18	79
18	80
18	81
18	82
18	83
19	84
19	85
19	86
19	87
20	88
20	89
20	90
20	91
20	92
20	93
20	94
21	95
21	96
21	97
22	61
22	98
22	99
22	100
22	101
22	102
23	103
23	104
23	105
23	106
24	107
24	108
24	109
24	110
25	111
25	112
25	113
25	114
26	115
26	116
26	117
26	118
26	119
26	120
27	121
27	122
27	123
27	124
28	125
28	126
28	127
29	128
29	129
29	130
30	59
30	131
30	132
30	133
30	134
31	89
31	135
31	136
31	137
31	138
32	61
32	125
32	139
32	140
32	141
32	142
32	143
32	144
33	106
33	145
33	146
33	147
33	148
34	61
34	149
34	150
34	151
34	152
34	153
35	154
35	155
35	156
35	157
36	158
36	159
36	160
36	161
36	162
37	163
37	164
37	165
37	166
38	167
38	168
38	169
38	170
38	171
39	172
39	173
39	174
39	175
40	176
40	177
40	178
40	179
40	180
40	181
41	182
41	183
41	184
42	185
42	186
42	187
43	188
43	189
43	190
43	191
43	192
44	193
44	194
44	195
44	196
45	197
45	198
45	199
45	200
46	201
46	202
46	203
46	204
46	205
47	206
47	207
47	208
48	209
48	210
48	211
49	212
49	213
49	214
49	215
50	216
50	217
50	218
50	219
51	220
51	221
51	222
51	223
51	224
51	225
51	226
51	227
51	228
51	229
52	230
52	231
52	232
52	233
52	234
53	235
53	236
53	237
53	238
53	239
54	81
54	240
54	241
54	242
54	243
54	244
54	245
55	6
55	246
55	247
55	248
55	249
55	250
55	251
56	140
56	149
56	153
56	180
56	252
56	253
56	254
56	255
56	256
57	257
57	258
57	259
57	260
57	261
58	262
58	263
58	264
59	265
59	266
59	267
59	268
59	269
59	270
59	271
60	26
60	70
60	272
60	273
60	274
60	275
60	276
60	277
60	278
60	279
60	280
61	281
61	282
61	283
61	284
62	285
62	286
62	287
63	7
63	9
63	288
63	289
63	290
63	291
64	292
64	293
64	294
64	295
64	296
64	297
65	27
65	48
65	298
65	299
65	300
65	301
65	302
65	303
65	304
66	305
66	306
66	307
67	308
67	309
67	310
68	156
68	311
68	312
68	313
69	314
69	315
69	316
69	317
70	318
70	319
70	320
70	321
70	322
71	323
71	324
71	325
71	326
71	327
71	328
72	329
72	330
72	331
72	332
72	333
72	334
73	335
73	336
73	337
74	338
74	339
74	340
74	341
74	342
75	343
75	344
75	345
75	346
75	347
75	348
75	349
75	350
75	351
76	272
76	352
76	353
76	354
76	355
76	356
77	357
77	358
77	359
78	26
78	360
78	361
78	362
79	139
79	363
79	364
79	365
80	366
80	367
80	368
80	369
81	370
81	371
81	372
81	373
81	374
81	375
82	22
82	184
82	376
82	377
82	378
83	379
83	380
83	381
83	382
83	383
83	384
83	385
83	386
83	387
83	388
83	389
83	390
83	391
83	392
83	393
84	55
84	394
84	395
84	396
85	397
85	398
85	399
85	400
85	401
86	48
86	221
86	402
86	403
86	404
87	223
87	405
87	406
87	407
87	408
88	409
88	410
88	411
89	218
89	412
89	413
89	414
89	415
90	416
90	417
90	418
90	419
91	259
91	420
91	421
91	422
91	423
92	424
92	425
92	426
92	427
92	428
92	429
93	430
93	431
93	432
93	433
94	43
94	434
94	435
94	436
94	437
94	438
94	439
94	440
95	441
95	442
95	443
95	444
95	445
95	446
96	447
96	448
96	449
96	450
97	451
97	452
97	453
97	454
97	455
98	456
98	457
98	458
98	459
98	460
98	461
98	462
99	157
99	240
99	463
100	334
100	464
100	465
100	466
100	467
100	468
100	469
100	470
101	190
101	471
101	472
101	473
102	286
102	474
102	475
102	476
102	477
102	478
103	479
103	480
103	481
103	482
103	483
103	484
103	485
103	486
103	487
103	488
103	489
103	490
103	491
103	492
103	493
104	5
104	182
104	494
104	495
104	496
105	497
105	498
105	499
105	500
105	501
106	502
106	503
106	504
106	505
