uid	iid
0	247
1	254
2	259
3	309
4	315
5	354
6	376
7	400
8	475
9	767
10	799
11	810
12	861
13	872
14	963
15	1143
16	1153
17	1184
18	1209
19	1224
20	1257
21	1275
22	1293
23	1355
24	1361
25	1390
26	1398
27	1414
28	1448
29	1463
30	1517
31	1527
32	1622
33	1648
34	1671
35	1683
36	1686
37	1690
38	1719
39	1741
40	1747
41	1750
42	1754
43	1767
44	1773
45	1900
46	1901
47	1921
48	1925
49	1930
50	1940
51	1951
52	1966
53	1973
54	1987
55	2060
56	2067
57	2080
58	2090
59	2394
60	2471
61	2483
62	2517
63	2523
64	2529
65	2534
66	2577
67	2586
68	2601
69	2665
70	2673
71	2678
72	2681
73	2684
74	2693
75	2700
76	2725
77	2731
78	2733
79	2741
80	2742
81	2744
82	2786
83	2809
84	2820
85	2822
86	2828
87	2832
88	2875
89	2883
90	2910
91	2920
92	2925
93	2937
94	2954
95	2955
96	2964
97	2978
98	2999
99	3002
100	3015
101	3020
102	3030
103	3046
104	3048
105	3070
106	3100
107	3109
108	3119
109	3123
110	3124
111	3141
112	3185
113	3187
114	3189
115	3190
116	3199
117	3208
118	3256
119	3280
120	3294
121	3300
122	3302
123	3307
124	3310
125	3332
126	3414
127	3416
128	3419
129	3420
130	3421
131	3433
132	3457
133	3464
134	3480
135	3493
136	3495
137	3498
138	3500
139	3505
140	3534
141	3540
142	3545
143	3560
144	3564
145	3568
146	3569
147	3577
148	3585
149	3591
150	3596
151	3599
152	3603
153	3612
154	3613
155	3624
156	3659
157	3734
158	3735
159	3740
160	3754
161	3782
162	3795
163	3799
164	3811
165	3818
166	3819
167	3822
168	3829
169	3833
170	3845
171	3858
172	3865
173	3869
174	3891
175	3902
176	3917
177	3920
178	3932
179	3935
180	3937
181	4059
182	4122
183	4140
184	4144
185	4167
186	4186
187	4210
188	4232
189	4263
190	4267
191	4271
192	4277
193	4282
194	4291
195	4297
196	4305
197	4311
198	4313
199	4316
200	4320
201	4329
202	4334
203	4339
204	4345
205	4350
206	4351
207	4354
208	4364
209	4366
210	4371
211	4396
212	4434
213	4451
214	4474
215	4513
216	4528
217	4535
218	4546
219	4563
220	4564
221	4574
222	4605
223	4617
224	4559
225	4666
226	4670
227	4684
228	4703
229	4708
230	4710
231	4724
232	4735
233	4745
234	4760
235	4927
236	4930
237	4979
238	5073
239	5103
240	5107
241	5122
242	5128
243	5150
244	5152
245	5154
246	5159
247	5163
248	5164
249	5183
250	5460
251	5467
252	5491
253	5497
254	5506
255	5507
256	5517
257	5520
258	5577
259	5586
260	5591
261	5595
262	5599
263	5292
264	5602
265	5603
266	5612
267	5639
268	5659
269	5662
270	5668
271	5678
272	5682
273	5683
274	5694
275	5697
276	5699
277	5703
278	5708
279	5714
280	5726
281	5734
282	5746
283	5748
284	5753
285	5774
286	5779
287	5782
288	5785
289	5797
290	3777
291	5802
292	5795
293	5804
294	5807
295	5811
296	5813
297	5814
298	5818
299	5823
300	4840
301	5824
302	5827
303	5828
304	5829
305	5861
306	5866
307	5875
308	5973
309	5979
310	5982
311	5995
312	5997
313	6072
314	6075
315	6079
316	6083
317	6086
318	6088
319	6110
320	6113
321	5715
322	6127
323	6139
324	6148
325	6150
326	4467
327	6155
328	6158
329	6163
330	6173
331	6186
332	6243
333	6245
334	6247
335	6248
336	5672
337	6257
338	6260
339	6262
340	6271
341	6272
342	6274
343	5755
344	6280
345	6281
346	6309
347	6311
348	6329
349	6368
350	6101
351	6372
352	6375
353	6062
354	4239
355	6380
356	6385
357	6391
358	6400
359	6415
360	4331
361	6418
362	6430
363	6434
364	6439
365	6441
366	6443
367	6444
368	6447
369	6450
370	6461
371	6462
372	5837
373	6464
374	6465
375	6467
376	6469
377	6490
378	6512
379	6513
380	6517
381	6524
382	6525
383	6546
384	6587
385	6593
386	6597
387	6611
388	6619
389	6620
390	6624
391	4491
392	6629
393	6633
394	6638
395	6642
396	6644
397	6647
398	6649
399	5020
400	6665
401	6325
402	6678
403	6499
404	6695
405	6722
406	6727
407	6738
408	6760
409	6774
410	6778
411	6780
412	1915
413	6785
414	6786
415	6789
416	6797
417	6800
418	6803
419	6807
420	6810
421	6812
422	6813
423	6815
424	6817
425	6822
426	5513
427	6825
428	6833
429	6835
430	6836
431	6817
432	6840
433	6841
434	6844
435	6851
436	6861
437	5766
438	6862
439	6864
440	6865
441	6866
442	6867
443	6868
444	6869
445	6889
446	6900
447	6902
448	6904
449	6379
450	6905
451	1306
452	5974
453	6906
454	6908
455	6913
456	4837
457	6914
458	6915
459	6916
460	6917
461	6923
462	6940
463	6520
464	6941
465	6943
466	6947
467	6948
468	6955
469	4442
470	6957
471	6787
472	6958
473	6961
474	6962
475	6964
476	6965
477	6966
478	6969
479	6971
480	6979
481	6983
482	6985
483	6988
484	3959
485	6993
486	6995
487	7000
488	7007
489	7013
490	4156
491	7017
492	7021
493	7031
494	7032
495	7034
496	7037
497	7058
498	7059
499	7078
500	2467
501	7083
502	7084
503	5731
504	6279
505	7085
506	7086
507	6375
508	7091
509	5837
510	7094
511	6951
512	6644
513	7099
514	7110
515	7113
516	7116
517	7118
518	7120
519	7126
520	7131
521	4732
522	7117
523	7157
524	7159
525	6625
526	7160
527	7163
528	7165
529	3170
530	7166
531	7186
532	6637
533	3477
534	7290
535	7294
536	7295
537	7301
538	7312
539	7313
540	7319
541	7320
542	7334
543	7336
544	7340
545	7368
546	7369
547	7371
548	6996
549	7373
550	7374
551	7379
552	6642
553	6962
554	7381
555	7382
556	7386
557	7391
558	7393
559	7394
560	3115
561	7395
562	7396
563	7397
564	7400
565	7401
566	7404
567	6450
568	7405
569	6916
570	7407
571	7410
572	6592
573	7412
574	6109
575	4275
576	7413
577	7417
578	7418
579	7422
580	7431
581	5998
582	7432
583	7433
584	7434
585	3438
586	6726
587	7445
588	5668
589	7448
590	7450
591	7453
592	7455
593	3110
594	7461
595	7462
596	3459
597	7466
598	7467
599	7480
600	7481
601	7483
602	7524
603	7543
604	7546
