uid	iid
0	246
1	253
2	258
3	308
4	314
5	353
6	375
7	399
8	474
9	766
10	798
11	809
12	860
13	871
14	962
15	1142
16	1152
17	1183
18	1208
19	1223
20	1256
21	1274
22	1292
23	1354
24	1360
25	1389
26	1397
27	1413
28	1447
29	1462
30	1516
31	1526
32	1621
33	1647
34	1670
35	1682
36	1685
37	1689
38	1718
39	1740
40	1746
41	1749
42	1753
43	1766
44	1772
45	1899
46	1861
47	1920
48	1924
49	1929
50	1939
51	1950
52	1965
53	1972
54	1986
55	2059
56	2066
57	2079
58	2089
59	2393
60	2470
61	2482
62	2516
63	2522
64	2528
65	2533
66	2576
67	2585
68	2600
69	2664
70	2672
71	2677
72	2680
73	2683
74	2692
75	2699
76	2724
77	2730
78	2732
79	2740
80	2724
81	2743
82	2785
83	2808
84	2819
85	2821
86	2827
87	2831
88	2874
89	2882
90	2909
91	2919
92	2924
93	2936
94	2953
95	2657
96	2963
97	2977
98	2998
99	3001
100	3014
101	3019
102	3029
103	3045
104	3047
105	3069
106	3099
107	3108
108	3118
109	3122
110	1428
111	3140
112	3184
113	3186
114	3188
115	2531
116	3198
117	3207
118	3255
119	3279
120	3293
121	3299
122	3301
123	3306
124	3309
125	3331
126	3413
127	3415
128	3418
129	1448
130	2527
131	3432
132	3456
133	3463
134	3479
135	3492
136	3494
137	3497
138	3499
139	3504
140	3533
141	3539
142	3544
143	3559
144	3563
145	3567
146	2997
147	3576
148	3584
149	3590
150	3595
151	3598
152	3602
153	3611
154	1455
155	3623
156	3658
157	3733
158	2344
159	3739
160	3753
161	3781
162	3794
163	3798
164	3810
165	3817
166	1784
167	3821
168	3828
169	3832
170	3844
171	3857
172	3864
173	3868
174	3890
175	3901
176	3916
177	3919
178	3931
179	3934
180	3936
181	4058
182	4121
183	4139
184	4143
185	4166
186	4185
187	4209
188	4231
189	4262
190	4266
191	4270
192	4276
193	4281
194	4290
195	4296
196	4304
197	4310
198	4312
199	4315
200	4319
201	4328
202	4333
203	4338
204	4344
205	4349
206	2688
207	4353
208	4363
209	4365
210	4370
211	4395
212	4433
213	4450
214	4473
215	4512
216	4527
217	4534
218	4545
219	4562
220	4330
221	4573
222	4604
223	4616
224	4228
225	4665
226	4669
227	4683
228	4702
229	4707
230	4709
231	4723
232	4734
233	4744
234	4759
235	4926
236	4929
237	4978
238	5072
239	5102
240	5106
241	5121
242	5127
243	5149
244	5151
245	5153
246	5158
247	5162
248	879
249	5182
250	5459
251	5466
252	5490
253	5496
254	5505
255	2404
256	5516
257	5519
258	5576
259	5585
260	5590
261	5594
262	5598
263	3337
264	5601
265	4965
266	5611
267	5638
268	5658
269	5661
270	5667
271	5677
272	5681
273	2943
274	5693
275	5696
276	5698
277	5702
278	5707
279	5713
280	5725
281	5733
282	5745
283	5747
284	5752
285	5773
286	5778
287	5781
288	5784
289	5796
290	3336
291	5801
292	4767
293	5803
294	5806
295	5810
296	5812
297	3468
298	5817
299	5822
300	4091
301	1228
302	5826
303	4390
304	5468
305	5860
306	5865
307	5874
308	5972
309	5978
310	5981
311	5994
312	5996
313	6071
314	6074
315	6078
316	6082
317	6085
318	6087
319	6109
320	6112
321	820
322	6126
323	6138
324	6147
325	6149
326	4332
327	6154
328	6157
329	6162
330	6172
331	6185
332	6242
333	6244
334	6246
335	4633
336	4667
337	6256
338	6259
339	6261
340	6270
341	4382
342	6273
343	5582
344	6279
345	6229
346	6308
347	6310
348	6328
349	6367
350	4158
351	6371
352	6374
353	5130
354	2684
355	6379
356	6384
357	6390
358	6399
359	6414
360	2082
361	6417
362	6429
363	6433
364	6438
365	6440
366	6442
367	3543
368	6446
369	6449
370	6460
371	5047
372	4973
373	6463
374	2684
375	6466
376	6468
377	6489
378	6511
379	5741
380	6516
381	6523
382	6445
383	6545
384	6586
385	6592
386	6596
387	6610
388	6618
389	4764
390	6623
391	3957
392	6628
393	6632
394	6637
395	6641
396	6643
397	6646
398	6648
399	3737
400	6664
401	5326
402	6677
403	5239
404	6694
405	6721
406	6726
407	6737
408	6759
409	6773
410	6777
411	6779
412	1784
413	6784
414	5537
415	6788
416	6796
417	6799
418	6802
419	6806
420	6809
421	6811
422	3170
423	6814
424	6816
425	6821
426	3387
427	6824
428	6832
429	6834
430	3503
431	5036
432	6839
433	6823
434	6843
435	6850
436	6860
437	5698
438	6439
439	6863
440	4677
441	6069
442	5972
443	6827
444	6660
445	6888
446	6899
447	6901
448	6903
449	5168
450	6674
451	1143
452	5862
453	5823
454	6907
455	6912
456	1208
457	6248
458	6221
459	4232
460	5789
461	6922
462	6939
463	3047
464	6191
465	6942
466	6946
467	3725
468	6954
469	2009
470	6956
471	5722
472	5196
473	6960
474	5671
475	6963
476	6395
477	6802
478	6968
479	6970
480	6978
481	6982
482	6984
483	6987
484	1356
485	6992
486	6994
487	6999
488	7006
489	7012
490	3443
491	7016
492	7020
493	7030
494	5150
495	7033
496	7036
497	7057
498	3111
499	7077
500	1837
