uid	iid
0	7
1	12
2	26
3	39
4	48
5	66
6	71
7	75
8	79
9	85
10	88
11	94
12	104
13	107
14	111
15	117
16	121
17	140
18	148
19	155
20	167
21	170
22	176
23	191
24	199
25	202
26	204
27	211
28	216
29	227
30	246
31	259
32	262
33	273
34	276
35	280
36	286
37	290
38	293
39	298
40	309
41	311
42	315
43	325
44	332
45	346
46	356
47	360
48	363
49	368
50	373
51	379
52	384
53	389
54	393
55	402
56	414
57	427
58	432
59	437
60	444
61	446
62	449
63	450
64	460
65	464
66	470
67	472
68	479
69	487
70	492
71	499
72	501
73	503
74	504
75	509
76	515
77	521
78	527
79	534
80	537
81	538
82	541
83	545
84	550
85	556
86	565
87	573
88	575
89	578
90	585
91	586
92	588
93	591
94	594
95	601
96	604
97	608
98	620
99	621
100	633
101	639
102	645
103	649
104	652
105	662
106	669
107	674
108	680
109	685
110	690
111	694
112	699
113	704
114	713
115	716
116	717
117	718
118	721
119	733
120	739
121	742
122	745
123	749
124	752
125	754
126	760
127	763
128	764
129	766
130	767
131	770
132	772
133	773
134	778
135	779
136	780
137	782
138	787
139	792
140	795
141	799
142	802
143	803
144	806
145	811
146	813
147	814
148	710
149	816
150	818
151	823
152	825
153	826
154	798
155	828
156	781
157	831
158	832
159	835
160	688
161	839
162	845
163	846
164	850
165	854
166	857
167	859
168	863
169	864
170	869
171	875
172	876
173	877
174	881
175	886
176	877
177	889
178	891
179	894
180	896
181	900
182	902
183	904
184	905
185	875
186	743
187	585
188	907
189	908
190	909
191	911
192	914
193	915
194	917
195	807
196	919
197	920
198	921
199	928
200	902
201	931
202	933
203	937
204	940
205	953
206	954
207	955
208	956
209	957
210	960
211	923
212	963
213	966
214	971
215	721
216	972
217	973
218	974
219	977
220	450
221	894
222	982
223	987
224	906
225	988
226	825
227	992
228	999
229	1000
230	1003
231	999
232	960
233	846
234	1007
235	1006
236	1010
237	739
238	1012
239	532
240	1018
241	1020
242	1021
243	1022
244	1023
245	1025
246	1030
247	1033
248	1034
249	1040
250	1043
251	882
252	827
253	927
254	1045
255	907
256	1048
257	1049
258	911
259	1051
260	1052
261	1054
262	1056
263	1011
264	989
265	1057
266	1011
267	1058
268	1060
269	1062
270	1063
271	969
272	969
273	1064
274	958
275	688
276	1067
277	1068
278	842
279	1072
280	1075
281	1080
282	809
283	936
284	1081
285	830
286	470
287	800
288	926
289	1082
290	915
291	1084
292	1085
293	844
294	1087
295	1089
296	1094
297	1096
298	638
299	1097
300	1098
301	1099
302	1100
303	1101
304	1103
305	745
306	1104
307	868
308	1105
309	1106
310	999
311	1107
312	1110
313	1111
314	798
315	849
316	1112
317	1109
318	1113
319	1115
320	1102
321	1116
322	1117
323	585
324	1082
325	621
326	1100
327	784
328	1034
329	1118
330	1106
331	1119
332	1120
333	1045
334	1121
335	1063
336	1014
337	1122
338	1124
339	1125
340	842
341	697
342	1093
343	965
344	1105
345	959
346	790
347	1108
348	1109
349	1120
350	1127
351	1106
352	860
353	1033
354	867
355	1128
356	999
357	1058
358	1101
359	1120
360	971
361	1012
362	1003
363	1080
364	982
365	818
366	940
367	1129
368	1073
369	1072
370	1130
371	1117
372	1103
373	1131
374	874
375	730
376	1083
377	1132
378	954
379	1073
380	487
381	1131
382	1133
383	972
384	1032
385	952
386	1134
387	998
388	570
389	1135
390	1136
391	1129
392	770
393	1137
394	582
395	424
396	983
397	1071
398	1065
399	1138
400	922
401	1020
402	455
403	1133
404	913
405	893
406	354
407	1139
408	861
409	1138
410	1141
411	1142
412	966
413	1136
414	1143
415	1143
416	1006
417	656
418	974
419	1145
420	1138
421	1146
422	1096
423	984
424	1076
425	1148
426	1018
427	966
428	959
429	1134
430	777
431	724
432	1150
433	883
434	1126
435	1106
436	1146
437	1151
438	1152
439	1154
440	588
441	967
442	1129
443	1013
444	984
445	1155
446	1069
447	1025
448	512
449	1156
450	1157
451	1143
452	1105
453	1158
454	1105
455	906
456	1160
457	1161
458	1003
459	1162
460	1061
461	406
462	1046
463	912
464	1097
465	1015
466	1163
467	1123
468	1033
469	1147
470	1155
471	1059
472	1169
473	1170
474	1171
475	1045
476	1173
477	1174
478	1083
479	717
480	924
481	914
482	814
483	1114
484	951
485	1103
486	1080
487	473
488	1175
489	890
490	1140
491	1073
492	1176
493	1177
494	1153
495	850
496	1161
497	1090
498	873
499	1178
500	1179
501	1042
502	1067
503	951
504	1100
505	1064
506	746
507	1146
508	890
509	791
510	1179
511	1181
512	1182
513	1028
514	1152
515	1183
516	978
517	1060
518	1104
519	951
520	1161
521	1172
522	906
523	1181
524	1148
525	1184
526	1063
527	1109
528	1185
529	1132
530	1161
531	1080
532	982
533	1090
534	980
535	1183
536	1132
537	1089
538	1170
539	1091
540	1074
541	909
542	749
543	1068
544	1080
545	824
546	691
547	1003
548	1166
549	1145
550	710
551	1187
552	1151
553	792
554	1149
555	927
556	968
557	1151
558	1177
559	1171
560	986
561	1188
562	1153
563	1046
564	1161
565	977
566	1022
567	932
568	1189
569	1178
570	913
571	892
572	936
573	855
574	1173
575	1111
576	951
577	1121
578	910
579	1122
580	979
581	1152
582	1130
583	1145
584	1160
585	1163
586	1135
587	976
588	1142
589	1143
590	1137
591	1025
592	1129
593	669
594	1138
595	698
596	1136
597	1115
598	1068
599	1161
600	996
601	1137
602	1159
603	1105
604	1171
605	739
606	692
607	1188
608	1162
609	1137
610	636
611	1182
612	1116
613	1114
614	1186
