uid	iid
0	0
0	1
0	2
0	3
0	4
0	5
1	8
1	9
1	10
2	13
2	14
2	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	23
2	24
3	27
3	28
3	29
3	30
3	31
3	32
3	33
3	34
3	35
3	36
3	37
4	40
4	41
4	42
4	43
4	44
4	45
4	46
5	49
5	50
5	51
5	52
5	53
5	54
5	55
5	56
5	57
5	58
5	59
5	60
5	61
5	62
5	63
5	64
6	67
6	68
6	69
7	72
7	73
8	50
8	76
8	77
9	33
9	80
9	81
9	82
9	83
10	62
10	86
11	89
11	90
11	91
11	92
12	95
12	96
12	97
12	98
12	99
12	100
12	101
12	102
13	105
14	108
14	109
15	59
15	112
15	113
15	114
15	115
16	118
16	119
17	56
17	66
17	74
17	116
17	122
17	123
17	124
17	125
17	126
17	127
17	128
17	129
17	130
17	131
17	132
17	133
17	134
17	135
17	136
17	137
17	138
18	141
18	142
18	143
18	144
18	145
18	146
19	149
19	150
19	151
19	152
19	153
20	16
20	65
20	109
20	124
20	156
20	157
20	158
20	159
20	160
20	161
20	162
20	163
20	164
20	165
21	168
22	103
22	171
22	172
22	173
22	174
23	88
23	177
23	178
23	179
23	180
23	181
23	182
23	183
23	184
23	185
23	186
23	187
23	188
23	189
24	98
24	123
24	192
24	193
24	194
24	195
24	196
24	197
25	200
26	99
26	102
26	103
26	104
27	11
27	152
27	205
27	206
27	207
27	208
27	209
28	212
28	213
28	214
29	217
29	218
29	219
29	220
29	221
29	222
29	223
29	224
29	225
30	11
30	63
30	98
30	165
30	170
30	174
30	177
30	228
30	229
30	230
30	231
30	232
30	233
30	234
30	235
30	236
30	237
30	238
30	239
30	240
30	241
30	242
30	243
30	244
31	25
31	183
31	247
31	248
31	249
31	250
31	251
31	252
31	253
31	254
31	255
31	256
31	257
32	42
32	260
33	32
33	56
33	263
33	264
33	265
33	266
33	267
33	268
33	269
33	270
33	271
34	274
35	277
35	278
36	80
36	129
36	131
36	236
36	270
36	281
36	282
36	283
36	284
37	23
37	231
37	287
37	288
38	291
39	170
39	294
39	295
39	296
40	125
40	128
40	129
40	181
40	262
40	299
40	300
40	301
40	302
40	303
40	304
40	305
40	306
40	307
41	107
42	152
42	230
42	233
42	312
42	313
43	6
43	316
43	317
43	318
43	319
43	320
43	321
43	322
43	323
44	183
44	326
44	327
44	328
44	329
44	330
45	83
45	331
45	333
45	334
45	335
45	336
45	337
45	338
45	339
45	340
45	341
45	342
45	343
45	344
46	45
46	112
46	347
46	348
46	349
46	350
46	351
46	352
46	353
46	354
47	22
47	23
47	357
47	358
48	227
48	361
49	165
49	166
49	364
49	365
49	366
50	32
50	178
50	337
50	369
50	370
50	371
51	9
51	374
51	375
51	376
51	377
52	116
52	285
52	301
52	380
52	381
52	382
53	385
53	386
53	387
54	390
54	391
55	75
55	360
55	389
55	394
55	395
55	396
55	397
55	398
55	399
55	400
56	249
56	324
56	332
56	403
56	404
56	405
56	406
56	407
56	408
56	409
56	410
56	411
56	412
57	158
57	240
57	314
57	384
57	415
57	416
57	417
57	418
57	419
57	420
57	421
57	422
57	423
57	424
57	425
58	248
58	266
58	351
58	393
58	428
58	429
58	430
59	118
59	433
59	434
59	435
60	13
60	221
60	287
60	402
60	435
60	438
60	439
60	440
60	441
60	442
61	34
61	313
62	65
62	66
62	86
62	116
62	167
62	185
62	199
62	243
62	269
62	284
62	286
62	309
62	337
62	350
62	382
62	447
63	61
63	177
63	243
64	11
64	62
64	151
64	387
64	451
64	452
64	453
64	454
64	455
64	456
64	457
64	458
65	101
65	243
65	344
65	461
65	462
66	385
66	429
66	464
66	465
66	466
66	467
66	468
67	428
67	454
68	145
68	373
68	473
68	474
68	475
68	476
68	477
69	452
69	480
69	481
69	482
69	483
69	484
69	485
70	37
70	42
70	87
70	206
70	208
70	346
70	488
70	489
70	490
71	29
71	33
71	52
71	63
71	260
71	354
71	427
71	429
71	493
71	494
71	495
71	496
71	497
72	196
72	367
73	32
73	243
73	367
73	384
74	75
74	243
75	14
75	24
75	43
75	107
75	120
75	170
75	220
75	399
75	404
75	505
75	506
75	507
76	40
76	43
76	50
76	64
76	270
76	336
76	380
76	417
76	449
76	510
76	511
76	512
76	513
77	71
77	329
77	384
77	516
77	517
77	518
77	519
78	201
78	227
78	399
78	522
78	523
78	524
78	525
79	32
79	307
79	420
79	495
79	519
79	528
