uid	iid
0	6
1	11
2	25
3	38
4	47
5	65
6	70
7	74
8	78
9	84
10	87
11	93
12	103
13	106
14	110
15	116
16	120
17	139
18	147
19	154
20	166
21	169
22	175
23	190
24	198
25	201
26	203
27	210
28	215
29	226
30	245
31	258
32	261
33	272
34	275
35	279
36	285
37	289
38	292
39	297
40	308
41	310
42	314
43	324
44	331
45	345
46	355
47	359
48	362
49	367
50	372
51	378
52	383
53	388
54	392
55	401
56	413
57	426
58	431
59	436
60	443
61	445
62	448
63	362
64	459
65	463
66	469
67	471
68	478
69	486
70	491
71	498
72	500
73	502
74	338
75	508
76	514
77	520
78	526
79	533
80	536
81	244
82	540
83	544
84	549
85	555
86	564
87	572
88	574
89	577
90	584
91	585
92	587
93	590
94	593
95	600
96	603
97	607
98	619
99	468
100	632
101	638
102	644
103	648
104	651
105	661
106	668
107	673
108	679
109	684
110	689
111	693
112	698
113	703
114	712
115	715
116	648
117	694
118	720
119	732
120	738
121	741
122	744
123	748
124	751
125	753
126	759
127	762
128	711
129	765
130	379
131	769
132	771
133	638
134	777
135	441
136	275
137	781
138	786
139	791
140	794
141	798
142	801
143	747
144	805
145	810
146	812
147	593
148	544
149	815
150	817
151	822
152	824
153	730
154	469
155	827
156	772
157	830
158	472
159	834
160	486
161	838
162	844
163	792
164	849
165	853
166	856
167	858
168	862
169	863
170	868
171	874
172	250
173	696
174	880
175	885
176	790
177	888
178	890
179	893
180	895
181	899
182	901
183	903
184	761
185	874
186	732
187	583
188	906
189	816
190	810
191	910
192	913
193	888
194	916
195	777
196	918
197	870
198	918
199	927
200	738
201	930
202	932
203	936
204	939
205	952
206	905
207	930
208	923
209	927
210	959
211	416
212	962
213	965
214	970
215	720
216	758
217	894
218	781
219	976
220	365
221	871
222	981
223	986
224	884
225	884
226	642
227	991
228	998
229	920
230	1002
231	652
232	664
233	765
234	1006
235	748
236	1009
237	626
238	1011
239	125
240	1017
241	1019
242	371
243	866
244	980
245	1024
246	1029
247	1032
248	604
249	1039
250	1042
251	494
252	730
253	557
254	1044
255	854
256	1047
257	1038
258	721
259	1050
260	978
261	1053
262	1055
263	872
264	784
265	438
266	924
267	881
268	1059
269	1061
270	857
271	955
272	788
273	1007
274	870
275	487
276	1066
277	434
278	352
279	1071
280	1074
281	1079
282	786
283	616
284	1077
285	454
286	295
287	764
288	918
289	1010
290	908
291	1083
292	847
293	358
294	1086
295	1088
296	1093
297	1095
298	545
299	809
300	686
301	771
302	887
303	985
304	1102
305	454
306	820
307	700
308	824
309	973
310	242
311	1037
312	1109
313	1043
314	685
315	846
316	1107
317	1019
318	694
319	1114
320	1067
321	872
322	972
323	473
324	711
325	546
326	806
327	654
328	340
329	1101
330	955
331	542
332	869
333	819
334	1089
335	973
336	892
337	1084
338	1123
339	1122
340	784
341	643
342	1023
343	816
344	1096
345	819
346	757
347	1084
348	1069
349	1069
350	1126
351	892
352	853
353	615
354	615
355	1095
356	859
357	881
358	1044
359	1114
360	833
361	974
362	960
363	1046
364	479
365	807
366	676
367	820
368	444
369	1044
370	889
371	889
372	1022
373	1127
374	669
375	586
376	862
377	1105
378	761
379	563
380	486
381	722
382	1117
383	612
384	1014
385	868
386	1067
387	904
388	453
389	465
390	842
391	1090
392	718
393	1110
394	257
395	365
396	919
397	1029
398	493
399	901
400	787
401	779
402	344
403	982
404	575
405	842
406	285
407	677
408	672
409	1050
410	1140
411	903
412	799
413	1102
414	811
415	1085
416	875
417	568
418	692
419	1144
420	1137
421	1130
422	1061
423	663
424	941
425	1147
426	1017
427	958
428	718
429	1094
430	743
431	653
432	1149
433	450
434	1081
435	1062
436	423
437	1007
438	1105
439	1153
440	587
441	960
442	798
443	953
444	554
445	465
446	1037
447	607
448	365
449	521
450	1145
451	1073
452	873
453	1076
454	866
455	563
456	1159
457	1056
458	967
459	1157
460	996
461	293
462	179
463	904
464	1048
465	937
466	1100
467	888
468	1019
469	1049
470	759
471	992
472	1168
473	1088
474	1156
475	869
476	1172
477	1027
478	963
479	372
480	913
481	646
482	561
483	954
484	950
485	1003
486	1050
487	249
488	898
489	630
490	972
491	978
492	1149
493	1153
494	121
495	818
496	1150
497	1080
498	773
499	1169
500	1130
501	796
502	930
503	950
504	916
505	1041
506	569
507	1134
508	799
509	710
510	1176
511	1180
512	954
513	931
514	1065
515	1155
516	927
517	1003
518	939
519	950
520	1129
521	1154
522	884
523	778
524	1083
525	1119
526	850
527	954
528	1169
529	741
530	1099
531	1048
532	734
533	972
534	952
535	1078
536	1007
537	1079
538	1169
539	755
540	995
541	739
542	572
543	1007
544	992
545	667
546	387
547	1002
548	1159
549	1144
550	709
551	1186
552	1061
553	195
554	766
555	848
556	797
557	1099
558	991
559	769
560	936
561	409
562	440
563	985
564	982
565	822
566	906
567	642
568	822
569	1169
570	883
571	854
572	530
573	849
574	1157
575	967
576	950
577	367
578	777
579	1050
580	524
581	1054
582	1054
583	640
584	779
585	1161
586	1012
587	860
588	1110
589	862
590	1075
591	802
592	1101
593	665
594	977
595	371
596	1065
597	983
598	859
599	419
600	983
601	1135
602	876
603	914
604	926
605	517
606	561
607	951
608	1157
609	1037
610	593
611	1128
612	332
613	921
614	1152
615	638
616	847
617	620
618	769
619	810
620	826
621	801
622	1052
623	809
624	582
625	967
626	1146
627	1058
628	550
629	923
630	391
631	831
632	1006
633	999
634	605
635	938
636	1141
637	641
638	1119
639	1055
640	577
641	792
642	1004
643	1185
644	1036
645	599
646	668
647	467
648	1044
649	713
650	711
651	641
652	743
653	1133
654	1104
655	1097
656	1005
657	897
658	801
659	1128
660	916
661	473
662	1055
663	320
664	1149
665	962
666	969
667	881
668	804
669	775
670	1170
671	1025
672	1019
673	1092
674	658
675	983
676	1140
677	961
678	801
679	997
680	901
681	105
682	933
683	1156
684	1002
685	803
686	1042
687	666
688	1177
689	1002
690	1045
691	1047
692	1079
693	665
694	1056
695	956
696	1075
697	599
698	997
699	813
700	235
701	467
702	1038
703	415
704	1157
705	661
706	791
707	940
708	493
709	1027
710	732
711	528
712	568
713	1164
714	1055
715	741
716	1169
717	907
718	782
719	730
720	936
721	865
722	403
723	440
724	792
725	569
726	250
727	708
728	1123
729	993
730	614
731	1082
732	1148
733	599
734	755
735	1140
736	1050
737	1157
738	855
739	1017
740	928
741	341
742	1041
743	927
744	880
745	1051
746	872
747	1079
748	675
749	1057
750	1071
751	1034
752	1053
753	574
754	1077
755	1178
756	1142
757	992
758	489
759	1065
760	766
761	764
762	793
763	1131
764	1028
765	465
766	1135
767	844
768	1178
769	1112
770	1023
771	925
772	1001
773	985
774	1065
775	1177
776	696
777	1094
778	889
779	1043
780	1180
781	835
782	1066
783	682
784	808
785	713
786	736
787	394
788	1132
789	1164
790	937
791	713
792	745
793	682
794	1137
795	1063
796	1081
797	720
798	917
799	1142
800	1139
801	1027
802	933
803	707
804	1108
805	1008
806	1047
807	1039
808	1000
809	769
810	906
811	766
812	1127
813	1134
814	880
815	443
816	1177
817	940
818	384
819	758
820	887
821	1073
822	860
823	1023
824	595
