uid	iid
0	0
0	1
0	2
0	3
0	4
0	5
0	6
0	7
1	8
1	9
1	10
1	11
1	12
2	13
2	14
2	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	23
2	24
2	25
2	26
3	27
3	28
3	29
3	30
3	31
3	32
3	33
3	34
3	35
3	36
3	37
3	38
3	39
4	40
4	41
4	42
4	43
4	44
4	45
4	46
4	47
4	48
5	49
5	50
5	51
5	52
5	53
5	54
5	55
5	56
5	57
5	58
5	59
5	60
5	61
5	62
5	63
5	64
5	65
5	66
6	67
6	68
6	69
6	70
6	71
7	72
7	73
7	74
7	75
8	50
8	76
8	77
8	78
8	79
9	33
9	80
9	81
9	82
9	83
9	84
9	85
10	62
10	86
10	87
10	88
11	89
11	90
11	91
11	92
11	93
11	94
12	95
12	96
12	97
12	98
12	99
12	100
12	101
12	102
12	103
12	104
13	105
13	106
13	107
14	108
14	109
14	110
14	111
15	59
15	112
15	113
15	114
15	115
15	116
15	117
16	118
16	119
16	120
16	121
17	56
17	66
17	74
17	116
17	122
17	123
17	124
17	125
17	126
17	127
17	128
17	129
17	130
17	131
17	132
17	133
17	134
17	135
17	136
17	137
17	138
17	139
17	140
18	141
18	142
18	143
18	144
18	145
18	146
18	147
18	148
19	149
19	150
19	151
19	152
19	153
19	154
19	155
20	16
20	65
20	109
20	124
20	156
20	157
20	158
20	159
20	160
20	161
20	162
20	163
20	164
20	165
20	166
20	167
21	168
21	169
21	170
22	103
22	171
22	172
22	173
22	174
22	175
22	176
23	88
23	177
23	178
23	179
23	180
23	181
23	182
23	183
23	184
23	185
23	186
23	187
23	188
23	189
23	190
23	191
24	98
24	123
24	192
24	193
24	194
24	195
24	196
24	197
24	198
24	199
25	200
25	201
25	202
26	99
26	102
26	103
26	104
26	203
26	204
27	11
27	152
27	205
27	206
27	207
27	208
27	209
27	210
27	211
28	212
28	213
28	214
28	215
28	216
29	217
29	218
29	219
29	220
29	221
29	222
29	223
29	224
29	225
29	226
29	227
30	11
30	63
30	98
30	165
30	170
30	174
30	177
30	228
30	229
30	230
30	231
30	232
30	233
30	234
30	235
30	236
30	237
30	238
30	239
30	240
30	241
30	242
30	243
30	244
30	245
30	246
31	25
31	183
31	247
31	248
31	249
31	250
31	251
31	252
31	253
31	254
31	255
31	256
31	257
31	258
31	259
32	42
32	260
32	261
32	262
33	32
33	56
33	263
33	264
33	265
33	266
33	267
33	268
33	269
33	270
33	271
33	272
33	273
34	274
34	275
34	276
35	277
35	278
35	279
35	280
36	80
36	129
36	131
36	236
36	270
36	281
36	282
36	283
36	284
36	285
36	286
37	23
37	231
37	287
37	288
37	289
37	290
38	291
38	292
38	293
39	170
39	294
39	295
39	296
39	297
39	298
40	125
40	128
40	129
40	181
40	262
40	299
40	300
40	301
40	302
40	303
40	304
40	305
40	306
40	307
40	308
40	309
41	107
41	310
41	311
42	152
42	230
42	233
42	312
42	313
42	314
42	315
43	6
43	316
43	317
43	318
43	319
43	320
43	321
43	322
43	323
43	324
43	325
44	183
44	326
44	327
44	328
44	329
44	330
44	331
44	332
45	83
45	331
45	333
45	334
45	335
45	336
45	337
45	338
45	339
45	340
45	341
45	342
45	343
45	344
45	345
45	346
46	45
46	112
46	347
46	348
46	349
46	350
46	351
46	352
46	353
46	354
46	355
46	356
47	22
47	23
47	357
47	358
47	359
47	360
48	227
48	361
48	362
48	363
49	165
49	166
49	364
49	365
49	366
49	367
49	368
50	32
50	178
50	337
50	369
50	370
50	371
50	372
50	373
51	9
51	374
51	375
51	376
51	377
51	378
51	379
52	116
52	285
52	301
52	380
52	381
52	382
52	383
52	384
53	385
53	386
53	387
53	388
53	389
54	390
54	391
54	392
54	393
55	75
55	360
55	389
55	394
55	395
55	396
55	397
55	398
55	399
55	400
55	401
55	402
56	249
56	324
56	332
56	403
56	404
56	405
56	406
56	407
56	408
56	409
56	410
56	411
56	412
56	413
56	414
57	158
57	240
57	314
57	384
57	415
57	416
57	417
57	418
57	419
57	420
57	421
57	422
57	423
57	424
57	425
57	426
57	427
58	248
58	266
58	351
58	393
58	428
58	429
58	430
58	431
58	432
59	118
59	433
59	434
59	435
59	436
59	437
60	13
60	221
60	287
60	402
60	435
60	438
60	439
60	440
60	441
60	442
60	443
60	444
61	34
61	313
61	445
61	446
62	65
62	66
62	86
62	116
62	167
62	185
62	199
62	243
62	269
62	284
